ThreadID: 00900b0c00700000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00c0130c00700000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00f01b0c00700000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0020240c00700000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00900b0c00700000, CarID: 0, Object: N0, time stamp: 101, AID: 1 arrived at connector.
ThreadID: 00c0130c00700000, CarID: 1, Object: N0, time stamp: 101, AID: 1 arrived at connector.
ThreadID: 00900b0c00700000, CarID: 0, Object: N0, time stamp: 102, AID: 2 started passing connector.
ThreadID: 00f01b0c00700000, CarID: 2, Object: N0, time stamp: 101, AID: 1 arrived at connector.
ThreadID: 0020240c00700000, CarID: 3, Object: N0, time stamp: 101, AID: 1 arrived at connector.
ThreadID: 0020240c00700000, CarID: 3, Object: N0, time stamp: 116, AID: 2 started passing connector.
ThreadID: 00900b0c00700000, CarID: 0, Object: N0, time stamp: 205, AID: 3 finished passing connector.
ThreadID: 00900b0c00700000, CarID: 0, Object: N0, time stamp: 205, AID: 0 traveling to connector.
ThreadID: 0020240c00700000, CarID: 3, Object: N0, time stamp: 222, AID: 3 finished passing connector.
ThreadID: 0020240c00700000, CarID: 3, Object: N0, time stamp: 222, AID: 0 traveling to connector.
ThreadID: 00f01b0c00700000, CarID: 2, Object: N0, time stamp: 222, AID: 2 started passing connector.
ThreadID: 00c0130c00700000, CarID: 1, Object: N0, time stamp: 238, AID: 2 started passing connector.
ThreadID: 00900b0c00700000, CarID: 0, Object: N0, time stamp: 308, AID: 1 arrived at connector.
ThreadID: 0020240c00700000, CarID: 3, Object: N0, time stamp: 332, AID: 1 arrived at connector.
ThreadID: 00f01b0c00700000, CarID: 2, Object: N0, time stamp: 332, AID: 3 finished passing connector.
ThreadID: 00f01b0c00700000, CarID: 2, Object: N0, time stamp: 332, AID: 0 traveling to connector.
ThreadID: 00c0130c00700000, CarID: 1, Object: N0, time stamp: 342, AID: 3 finished passing connector.
ThreadID: 00c0130c00700000, CarID: 1, Object: N0, time stamp: 342, AID: 0 traveling to connector.
ThreadID: 00900b0c00700000, CarID: 0, Object: N0, time stamp: 342, AID: 2 started passing connector.
ThreadID: 0020240c00700000, CarID: 3, Object: N0, time stamp: 357, AID: 2 started passing connector.
ThreadID: 00f01b0c00700000, CarID: 2, Object: N0, time stamp: 436, AID: 1 arrived at connector.
ThreadID: 00f01b0c00700000, CarID: 2, Object: N0, time stamp: 449, AID: 2 started passing connector.
ThreadID: 00c0130c00700000, CarID: 1, Object: N0, time stamp: 449, AID: 1 arrived at connector.
ThreadID: 00900b0c00700000, CarID: 0, Object: N0, time stamp: 449, AID: 3 finished passing connector.
ThreadID: 00900b0c00700000, CarID: 0, Object: N0, time stamp: 449, AID: 0 traveling to connector.
ThreadID: 00c0130c00700000, CarID: 1, Object: N0, time stamp: 465, AID: 2 started passing connector.
ThreadID: 0020240c00700000, CarID: 3, Object: N0, time stamp: 465, AID: 3 finished passing connector.
ThreadID: 0020240c00700000, CarID: 3, Object: N0, time stamp: 465, AID: 0 traveling to connector.
ThreadID: 00f01b0c00700000, CarID: 2, Object: N0, time stamp: 550, AID: 3 finished passing connector.
ThreadID: 00f01b0c00700000, CarID: 2, Object: N0, time stamp: 550, AID: 0 traveling to connector.
ThreadID: 00900b0c00700000, CarID: 0, Object: N0, time stamp: 550, AID: 1 arrived at connector.
ThreadID: 00900b0c00700000, CarID: 0, Object: N0, time stamp: 565, AID: 2 started passing connector.
ThreadID: 00c0130c00700000, CarID: 1, Object: N0, time stamp: 569, AID: 3 finished passing connector.
ThreadID: 00c0130c00700000, CarID: 1, Object: N0, time stamp: 569, AID: 0 traveling to connector.
ThreadID: 0020240c00700000, CarID: 3, Object: N0, time stamp: 569, AID: 1 arrived at connector.
ThreadID: 0020240c00700000, CarID: 3, Object: N0, time stamp: 582, AID: 2 started passing connector.
ThreadID: 00f01b0c00700000, CarID: 2, Object: N0, time stamp: 659, AID: 1 arrived at connector.
ThreadID: 00f01b0c00700000, CarID: 2, Object: N0, time stamp: 674, AID: 2 started passing connector.
ThreadID: 00900b0c00700000, CarID: 0, Object: N0, time stamp: 674, AID: 3 finished passing connector.
ThreadID: 00c0130c00700000, CarID: 1, Object: N0, time stamp: 674, AID: 1 arrived at connector.
ThreadID: 00c0130c00700000, CarID: 1, Object: N0, time stamp: 689, AID: 2 started passing connector.
ThreadID: 0020240c00700000, CarID: 3, Object: N0, time stamp: 692, AID: 3 finished passing connector.
ThreadID: 00f01b0c00700000, CarID: 2, Object: N0, time stamp: 784, AID: 3 finished passing connector.
ThreadID: 00c0130c00700000, CarID: 1, Object: N0, time stamp: 799, AID: 3 finished passing connector.
