ThreadID: 00205c0d00700000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0050640d00700000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00806c0d00700000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00b0740d00700000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00205c0d00700000, CarID: 0, Object: N0, time stamp: 102, AID: 1 arrived at connector.
ThreadID: 0050640d00700000, CarID: 1, Object: N0, time stamp: 102, AID: 1 arrived at connector.
ThreadID: 00b0740d00700000, CarID: 3, Object: N0, time stamp: 102, AID: 1 arrived at connector.
ThreadID: 00205c0d00700000, CarID: 0, Object: N0, time stamp: 102, AID: 2 started passing connector.
ThreadID: 00806c0d00700000, CarID: 2, Object: N0, time stamp: 102, AID: 1 arrived at connector.
ThreadID: 0050640d00700000, CarID: 1, Object: N0, time stamp: 117, AID: 2 started passing connector.
ThreadID: 00b0740d00700000, CarID: 3, Object: N0, time stamp: 133, AID: 2 started passing connector.
ThreadID: 00806c0d00700000, CarID: 2, Object: N0, time stamp: 143, AID: 2 started passing connector.
ThreadID: 00205c0d00700000, CarID: 0, Object: N0, time stamp: 203, AID: 3 finished passing connector.
ThreadID: 00205c0d00700000, CarID: 0, Object: N0, time stamp: 203, AID: 0 traveling to connector.
ThreadID: 0050640d00700000, CarID: 1, Object: N0, time stamp: 219, AID: 3 finished passing connector.
ThreadID: 0050640d00700000, CarID: 1, Object: N0, time stamp: 219, AID: 0 traveling to connector.
ThreadID: 00b0740d00700000, CarID: 3, Object: N0, time stamp: 236, AID: 3 finished passing connector.
ThreadID: 00b0740d00700000, CarID: 3, Object: N0, time stamp: 236, AID: 0 traveling to connector.
ThreadID: 00806c0d00700000, CarID: 2, Object: N0, time stamp: 244, AID: 3 finished passing connector.
ThreadID: 00806c0d00700000, CarID: 2, Object: N0, time stamp: 244, AID: 0 traveling to connector.
ThreadID: 00205c0d00700000, CarID: 0, Object: N0, time stamp: 310, AID: 1 arrived at connector.
ThreadID: 00205c0d00700000, CarID: 0, Object: N0, time stamp: 310, AID: 2 started passing connector.
ThreadID: 0050640d00700000, CarID: 1, Object: N0, time stamp: 328, AID: 1 arrived at connector.
ThreadID: 00b0740d00700000, CarID: 3, Object: N0, time stamp: 336, AID: 1 arrived at connector.
ThreadID: 0050640d00700000, CarID: 1, Object: N0, time stamp: 343, AID: 2 started passing connector.
ThreadID: 00806c0d00700000, CarID: 2, Object: N0, time stamp: 344, AID: 1 arrived at connector.
ThreadID: 00b0740d00700000, CarID: 3, Object: N0, time stamp: 359, AID: 2 started passing connector.
ThreadID: 00806c0d00700000, CarID: 2, Object: N0, time stamp: 369, AID: 2 started passing connector.
ThreadID: 00205c0d00700000, CarID: 0, Object: N0, time stamp: 410, AID: 3 finished passing connector.
ThreadID: 00205c0d00700000, CarID: 0, Object: N0, time stamp: 410, AID: 0 traveling to connector.
ThreadID: 0050640d00700000, CarID: 1, Object: N0, time stamp: 445, AID: 3 finished passing connector.
ThreadID: 0050640d00700000, CarID: 1, Object: N0, time stamp: 445, AID: 0 traveling to connector.
ThreadID: 00b0740d00700000, CarID: 3, Object: N0, time stamp: 470, AID: 3 finished passing connector.
ThreadID: 00b0740d00700000, CarID: 3, Object: N0, time stamp: 470, AID: 0 traveling to connector.
ThreadID: 00806c0d00700000, CarID: 2, Object: N0, time stamp: 470, AID: 3 finished passing connector.
ThreadID: 00806c0d00700000, CarID: 2, Object: N0, time stamp: 470, AID: 0 traveling to connector.
ThreadID: 00205c0d00700000, CarID: 0, Object: N0, time stamp: 514, AID: 1 arrived at connector.
ThreadID: 00205c0d00700000, CarID: 0, Object: N0, time stamp: 514, AID: 2 started passing connector.
ThreadID: 0050640d00700000, CarID: 1, Object: N0, time stamp: 546, AID: 1 arrived at connector.
ThreadID: 0050640d00700000, CarID: 1, Object: N0, time stamp: 561, AID: 2 started passing connector.
ThreadID: 00b0740d00700000, CarID: 3, Object: N0, time stamp: 570, AID: 1 arrived at connector.
ThreadID: 00806c0d00700000, CarID: 2, Object: N0, time stamp: 577, AID: 1 arrived at connector.
ThreadID: 00b0740d00700000, CarID: 3, Object: N0, time stamp: 582, AID: 2 started passing connector.
ThreadID: 00806c0d00700000, CarID: 2, Object: N0, time stamp: 592, AID: 2 started passing connector.
ThreadID: 00205c0d00700000, CarID: 0, Object: N0, time stamp: 614, AID: 3 finished passing connector.
ThreadID: 0050640d00700000, CarID: 1, Object: N0, time stamp: 661, AID: 3 finished passing connector.
ThreadID: 00b0740d00700000, CarID: 3, Object: N0, time stamp: 689, AID: 3 finished passing connector.
ThreadID: 00806c0d00700000, CarID: 2, Object: N0, time stamp: 697, AID: 3 finished passing connector.
