ThreadID: 0090110d00700000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00c0190d00700000, CarID: 1, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00202a0d00700000, CarID: 3, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00f0210d00700000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00c0190d00700000, CarID: 1, Object: C0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 00202a0d00700000, CarID: 3, Object: F0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 00f0210d00700000, CarID: 2, Object: N0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 0090110d00700000, CarID: 0, Object: N0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 00c0190d00700000, CarID: 1, Object: C0, time stamp: 107, AID: 2 started passing connector.
ThreadID: 00f0210d00700000, CarID: 2, Object: N0, time stamp: 107, AID: 2 started passing connector.
ThreadID: 00f0210d00700000, CarID: 2, Object: N0, time stamp: 216, AID: 3 finished passing connector.
ThreadID: 00f0210d00700000, CarID: 2, Object: N0, time stamp: 216, AID: 0 traveling to connector.
ThreadID: 0090110d00700000, CarID: 0, Object: N0, time stamp: 216, AID: 2 started passing connector.
ThreadID: 00c0190d00700000, CarID: 1, Object: C0, time stamp: 217, AID: 3 finished passing connector.
ThreadID: 00c0190d00700000, CarID: 1, Object: C0, time stamp: 217, AID: 0 traveling to connector.
ThreadID: 00f0210d00700000, CarID: 2, Object: N0, time stamp: 317, AID: 1 arrived at connector.
ThreadID: 00f0210d00700000, CarID: 2, Object: C0, time stamp: 317, AID: 2 started passing connector.
ThreadID: 0090110d00700000, CarID: 0, Object: N0, time stamp: 317, AID: 3 finished passing connector.
ThreadID: 0090110d00700000, CarID: 0, Object: N0, time stamp: 317, AID: 0 traveling to connector.
ThreadID: 00c0190d00700000, CarID: 1, Object: C0, time stamp: 322, AID: 1 arrived at connector.
ThreadID: 00c0190d00700000, CarID: 1, Object: N0, time stamp: 322, AID: 2 started passing connector.
ThreadID: 00f0210d00700000, CarID: 2, Object: C0, time stamp: 427, AID: 3 finished passing connector.
ThreadID: 00f0210d00700000, CarID: 2, Object: C0, time stamp: 427, AID: 0 traveling to connector.
ThreadID: 0090110d00700000, CarID: 0, Object: N0, time stamp: 427, AID: 1 arrived at connector.
ThreadID: 00c0190d00700000, CarID: 1, Object: N0, time stamp: 427, AID: 3 finished passing connector.
ThreadID: 00c0190d00700000, CarID: 1, Object: N0, time stamp: 427, AID: 0 traveling to connector.
ThreadID: 00f0210d00700000, CarID: 2, Object: C0, time stamp: 529, AID: 1 arrived at connector.
ThreadID: 00c0190d00700000, CarID: 1, Object: N0, time stamp: 529, AID: 1 arrived at connector.
ThreadID: 00f0210d00700000, CarID: 2, Object: F0, time stamp: 529, AID: 2 started passing connector.
ThreadID: 00202a0d00700000, CarID: 3, Object: F0, time stamp: 529, AID: 2 started passing connector.
ThreadID: 0090110d00700000, CarID: 0, Object: F0, time stamp: 529, AID: 2 started passing connector.
ThreadID: 00202a0d00700000, CarID: 3, Object: F0, time stamp: 633, AID: 3 finished passing connector.
ThreadID: 0090110d00700000, CarID: 0, Object: F0, time stamp: 633, AID: 3 finished passing connector.
ThreadID: 0090110d00700000, CarID: 0, Object: F0, time stamp: 633, AID: 0 traveling to connector.
ThreadID: 00f0210d00700000, CarID: 2, Object: F0, time stamp: 633, AID: 3 finished passing connector.
ThreadID: 00202a0d00700000, CarID: 3, Object: F0, time stamp: 633, AID: 0 traveling to connector.
ThreadID: 0090110d00700000, CarID: 0, Object: F0, time stamp: 738, AID: 1 arrived at connector.
ThreadID: 0090110d00700000, CarID: 0, Object: C0, time stamp: 738, AID: 2 started passing connector.
ThreadID: 00202a0d00700000, CarID: 3, Object: F0, time stamp: 738, AID: 1 arrived at connector.
ThreadID: 00202a0d00700000, CarID: 3, Object: C0, time stamp: 753, AID: 2 started passing connector.
ThreadID: 0090110d00700000, CarID: 0, Object: C0, time stamp: 839, AID: 3 finished passing connector.
ThreadID: 00202a0d00700000, CarID: 3, Object: C0, time stamp: 856, AID: 3 finished passing connector.
ThreadID: 00202a0d00700000, CarID: 3, Object: C0, time stamp: 856, AID: 0 traveling to connector.
ThreadID: 00202a0d00700000, CarID: 3, Object: C0, time stamp: 965, AID: 1 arrived at connector.
ThreadID: 00202a0d00700000, CarID: 3, Object: N0, time stamp: 966, AID: 2 started passing connector.
ThreadID: 00202a0d00700000, CarID: 3, Object: N0, time stamp: 1066, AID: 3 finished passing connector.
ThreadID: 00c0190d00700000, CarID: 1, Object: F0, time stamp: 1637, AID: 2 started passing connector.
ThreadID: 00c0190d00700000, CarID: 1, Object: F0, time stamp: 1743, AID: 3 finished passing connector.
