ThreadID: 0020d70b00700000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00b0ef0b00700000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0080e70b00700000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0050df0b00700000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0080e70b00700000, CarID: 2, Object: N0, time stamp: 101, AID: 1 arrived at connector.
ThreadID: 0080e70b00700000, CarID: 2, Object: N0, time stamp: 102, AID: 2 started passing connector.
ThreadID: 0020d70b00700000, CarID: 0, Object: N0, time stamp: 105, AID: 1 arrived at connector.
ThreadID: 0050df0b00700000, CarID: 1, Object: N0, time stamp: 105, AID: 1 arrived at connector.
ThreadID: 00b0ef0b00700000, CarID: 3, Object: N0, time stamp: 105, AID: 1 arrived at connector.
ThreadID: 0020d70b00700000, CarID: 0, Object: N0, time stamp: 119, AID: 2 started passing connector.
ThreadID: 0080e70b00700000, CarID: 2, Object: N0, time stamp: 202, AID: 3 finished passing connector.
ThreadID: 0080e70b00700000, CarID: 2, Object: N0, time stamp: 202, AID: 0 traveling to connector.
ThreadID: 0020d70b00700000, CarID: 0, Object: N0, time stamp: 219, AID: 3 finished passing connector.
ThreadID: 0020d70b00700000, CarID: 0, Object: N0, time stamp: 219, AID: 0 traveling to connector.
ThreadID: 0050df0b00700000, CarID: 1, Object: N0, time stamp: 219, AID: 2 started passing connector.
ThreadID: 00b0ef0b00700000, CarID: 3, Object: N0, time stamp: 233, AID: 2 started passing connector.
ThreadID: 0080e70b00700000, CarID: 2, Object: N0, time stamp: 302, AID: 1 arrived at connector.
ThreadID: 0080e70b00700000, CarID: 2, Object: N0, time stamp: 312, AID: 2 started passing connector.
ThreadID: 0020d70b00700000, CarID: 0, Object: N0, time stamp: 326, AID: 1 arrived at connector.
ThreadID: 0020d70b00700000, CarID: 0, Object: N0, time stamp: 341, AID: 2 started passing connector.
ThreadID: 0050df0b00700000, CarID: 1, Object: N0, time stamp: 341, AID: 3 finished passing connector.
ThreadID: 0050df0b00700000, CarID: 1, Object: N0, time stamp: 341, AID: 0 traveling to connector.
ThreadID: 00b0ef0b00700000, CarID: 3, Object: N0, time stamp: 342, AID: 3 finished passing connector.
ThreadID: 00b0ef0b00700000, CarID: 3, Object: N0, time stamp: 342, AID: 0 traveling to connector.
ThreadID: 0080e70b00700000, CarID: 2, Object: N0, time stamp: 419, AID: 3 finished passing connector.
ThreadID: 0080e70b00700000, CarID: 2, Object: N0, time stamp: 419, AID: 0 traveling to connector.
ThreadID: 0020d70b00700000, CarID: 0, Object: N0, time stamp: 452, AID: 3 finished passing connector.
ThreadID: 0020d70b00700000, CarID: 0, Object: N0, time stamp: 452, AID: 0 traveling to connector.
ThreadID: 0050df0b00700000, CarID: 1, Object: N0, time stamp: 452, AID: 1 arrived at connector.
ThreadID: 0050df0b00700000, CarID: 1, Object: N0, time stamp: 452, AID: 2 started passing connector.
ThreadID: 00b0ef0b00700000, CarID: 3, Object: N0, time stamp: 452, AID: 1 arrived at connector.
ThreadID: 00b0ef0b00700000, CarID: 3, Object: N0, time stamp: 467, AID: 2 started passing connector.
ThreadID: 0080e70b00700000, CarID: 2, Object: N0, time stamp: 519, AID: 1 arrived at connector.
ThreadID: 0080e70b00700000, CarID: 2, Object: N0, time stamp: 534, AID: 2 started passing connector.
ThreadID: 0020d70b00700000, CarID: 0, Object: N0, time stamp: 552, AID: 1 arrived at connector.
ThreadID: 0020d70b00700000, CarID: 0, Object: N0, time stamp: 562, AID: 2 started passing connector.
ThreadID: 0050df0b00700000, CarID: 1, Object: N0, time stamp: 562, AID: 3 finished passing connector.
ThreadID: 0050df0b00700000, CarID: 1, Object: N0, time stamp: 562, AID: 0 traveling to connector.
ThreadID: 00b0ef0b00700000, CarID: 3, Object: N0, time stamp: 569, AID: 3 finished passing connector.
ThreadID: 00b0ef0b00700000, CarID: 3, Object: N0, time stamp: 569, AID: 0 traveling to connector.
ThreadID: 0080e70b00700000, CarID: 2, Object: N0, time stamp: 635, AID: 3 finished passing connector.
ThreadID: 0020d70b00700000, CarID: 0, Object: N0, time stamp: 667, AID: 3 finished passing connector.
ThreadID: 0050df0b00700000, CarID: 1, Object: N0, time stamp: 667, AID: 1 arrived at connector.
ThreadID: 0050df0b00700000, CarID: 1, Object: N0, time stamp: 667, AID: 2 started passing connector.
ThreadID: 00b0ef0b00700000, CarID: 3, Object: N0, time stamp: 669, AID: 1 arrived at connector.
ThreadID: 00b0ef0b00700000, CarID: 3, Object: N0, time stamp: 684, AID: 2 started passing connector.
ThreadID: 0050df0b00700000, CarID: 1, Object: N0, time stamp: 772, AID: 3 finished passing connector.
ThreadID: 00b0ef0b00700000, CarID: 3, Object: N0, time stamp: 794, AID: 3 finished passing connector.
