ThreadID: 00f01b0b00700000, CarID: 0, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0020240b00700000, CarID: 1, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00502c0b00700000, CarID: 2, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0080340b00700000, CarID: 3, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00f01b0b00700000, CarID: 0, Object: F0, time stamp: 103, AID: 1 arrived at connector.
ThreadID: 00502c0b00700000, CarID: 2, Object: F0, time stamp: 103, AID: 1 arrived at connector.
ThreadID: 0020240b00700000, CarID: 1, Object: F0, time stamp: 103, AID: 1 arrived at connector.
ThreadID: 0080340b00700000, CarID: 3, Object: F0, time stamp: 103, AID: 1 arrived at connector.
ThreadID: 0020240b00700000, CarID: 1, Object: F0, time stamp: 103, AID: 2 started passing connector.
ThreadID: 00f01b0b00700000, CarID: 0, Object: F0, time stamp: 103, AID: 2 started passing connector.
ThreadID: 00502c0b00700000, CarID: 2, Object: F0, time stamp: 103, AID: 2 started passing connector.
ThreadID: 00502c0b00700000, CarID: 2, Object: F0, time stamp: 210, AID: 3 finished passing connector.
ThreadID: 00502c0b00700000, CarID: 2, Object: F0, time stamp: 210, AID: 0 traveling to connector.
ThreadID: 0020240b00700000, CarID: 1, Object: F0, time stamp: 210, AID: 3 finished passing connector.
ThreadID: 00f01b0b00700000, CarID: 0, Object: F0, time stamp: 210, AID: 3 finished passing connector.
ThreadID: 00f01b0b00700000, CarID: 0, Object: F0, time stamp: 210, AID: 0 traveling to connector.
ThreadID: 0020240b00700000, CarID: 1, Object: F0, time stamp: 210, AID: 0 traveling to connector.
ThreadID: 00502c0b00700000, CarID: 2, Object: F0, time stamp: 310, AID: 1 arrived at connector.
ThreadID: 00f01b0b00700000, CarID: 0, Object: F0, time stamp: 310, AID: 1 arrived at connector.
ThreadID: 0020240b00700000, CarID: 1, Object: F0, time stamp: 310, AID: 1 arrived at connector.
ThreadID: 00f01b0b00700000, CarID: 0, Object: F0, time stamp: 310, AID: 2 started passing connector.
ThreadID: 00502c0b00700000, CarID: 2, Object: F0, time stamp: 310, AID: 2 started passing connector.
ThreadID: 0080340b00700000, CarID: 3, Object: F0, time stamp: 310, AID: 2 started passing connector.
ThreadID: 0080340b00700000, CarID: 3, Object: F0, time stamp: 421, AID: 3 finished passing connector.
ThreadID: 0080340b00700000, CarID: 3, Object: F0, time stamp: 421, AID: 0 traveling to connector.
ThreadID: 00502c0b00700000, CarID: 2, Object: F0, time stamp: 421, AID: 3 finished passing connector.
ThreadID: 00502c0b00700000, CarID: 2, Object: F0, time stamp: 421, AID: 0 traveling to connector.
ThreadID: 00f01b0b00700000, CarID: 0, Object: F0, time stamp: 421, AID: 3 finished passing connector.
ThreadID: 00f01b0b00700000, CarID: 0, Object: F0, time stamp: 421, AID: 0 traveling to connector.
ThreadID: 00502c0b00700000, CarID: 2, Object: F0, time stamp: 527, AID: 1 arrived at connector.
ThreadID: 0080340b00700000, CarID: 3, Object: F0, time stamp: 527, AID: 1 arrived at connector.
ThreadID: 0080340b00700000, CarID: 3, Object: F0, time stamp: 527, AID: 2 started passing connector.
ThreadID: 00502c0b00700000, CarID: 2, Object: F0, time stamp: 527, AID: 2 started passing connector.
ThreadID: 0020240b00700000, CarID: 1, Object: F0, time stamp: 527, AID: 2 started passing connector.
ThreadID: 00f01b0b00700000, CarID: 0, Object: F0, time stamp: 527, AID: 1 arrived at connector.
ThreadID: 0020240b00700000, CarID: 1, Object: F0, time stamp: 637, AID: 3 finished passing connector.
ThreadID: 0020240b00700000, CarID: 1, Object: F0, time stamp: 637, AID: 0 traveling to connector.
ThreadID: 0080340b00700000, CarID: 3, Object: F0, time stamp: 637, AID: 3 finished passing connector.
ThreadID: 0080340b00700000, CarID: 3, Object: F0, time stamp: 637, AID: 0 traveling to connector.
ThreadID: 00502c0b00700000, CarID: 2, Object: F0, time stamp: 637, AID: 3 finished passing connector.
ThreadID: 0020240b00700000, CarID: 1, Object: F0, time stamp: 747, AID: 1 arrived at connector.
ThreadID: 0080340b00700000, CarID: 3, Object: F0, time stamp: 747, AID: 1 arrived at connector.
ThreadID: 0080340b00700000, CarID: 3, Object: F0, time stamp: 748, AID: 2 started passing connector.
ThreadID: 00f01b0b00700000, CarID: 0, Object: F0, time stamp: 748, AID: 2 started passing connector.
ThreadID: 0020240b00700000, CarID: 1, Object: F0, time stamp: 748, AID: 2 started passing connector.
ThreadID: 0020240b00700000, CarID: 1, Object: F0, time stamp: 856, AID: 3 finished passing connector.
ThreadID: 00f01b0b00700000, CarID: 0, Object: F0, time stamp: 856, AID: 3 finished passing connector.
ThreadID: 0080340b00700000, CarID: 3, Object: F0, time stamp: 856, AID: 3 finished passing connector.
