ThreadID: 0020eb0700700000, CarID: 0, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0050f30700700000, CarID: 1, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0080fb0700700000, CarID: 2, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00b0030800700000, CarID: 3, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0020eb0700700000, CarID: 0, Object: F0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 00b0030800700000, CarID: 3, Object: F0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 0050f30700700000, CarID: 1, Object: F0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 0080fb0700700000, CarID: 2, Object: F0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 0050f30700700000, CarID: 1, Object: F0, time stamp: 107, AID: 2 started passing connector.
ThreadID: 0020eb0700700000, CarID: 0, Object: F0, time stamp: 107, AID: 2 started passing connector.
ThreadID: 0080fb0700700000, CarID: 2, Object: F0, time stamp: 107, AID: 2 started passing connector.
ThreadID: 00b0030800700000, CarID: 3, Object: F0, time stamp: 107, AID: 2 started passing connector.
ThreadID: 0020eb0700700000, CarID: 0, Object: F0, time stamp: 208, AID: 3 finished passing connector.
ThreadID: 0050f30700700000, CarID: 1, Object: F0, time stamp: 208, AID: 3 finished passing connector.
ThreadID: 0050f30700700000, CarID: 1, Object: F0, time stamp: 208, AID: 0 traveling to connector.
ThreadID: 0020eb0700700000, CarID: 0, Object: F0, time stamp: 208, AID: 0 traveling to connector.
ThreadID: 0080fb0700700000, CarID: 2, Object: F0, time stamp: 208, AID: 3 finished passing connector.
ThreadID: 0080fb0700700000, CarID: 2, Object: F0, time stamp: 208, AID: 0 traveling to connector.
ThreadID: 00b0030800700000, CarID: 3, Object: F0, time stamp: 208, AID: 3 finished passing connector.
ThreadID: 00b0030800700000, CarID: 3, Object: F0, time stamp: 208, AID: 0 traveling to connector.
ThreadID: 0050f30700700000, CarID: 1, Object: F0, time stamp: 315, AID: 1 arrived at connector.
ThreadID: 00b0030800700000, CarID: 3, Object: F0, time stamp: 315, AID: 1 arrived at connector.
ThreadID: 0080fb0700700000, CarID: 2, Object: F0, time stamp: 315, AID: 1 arrived at connector.
ThreadID: 0080fb0700700000, CarID: 2, Object: F0, time stamp: 315, AID: 2 started passing connector.
ThreadID: 0020eb0700700000, CarID: 0, Object: F0, time stamp: 315, AID: 1 arrived at connector.
ThreadID: 0020eb0700700000, CarID: 0, Object: F0, time stamp: 315, AID: 2 started passing connector.
ThreadID: 0050f30700700000, CarID: 1, Object: F0, time stamp: 315, AID: 2 started passing connector.
ThreadID: 00b0030800700000, CarID: 3, Object: F0, time stamp: 315, AID: 2 started passing connector.
ThreadID: 00b0030800700000, CarID: 3, Object: F0, time stamp: 415, AID: 3 finished passing connector.
ThreadID: 00b0030800700000, CarID: 3, Object: F0, time stamp: 415, AID: 0 traveling to connector.
ThreadID: 0050f30700700000, CarID: 1, Object: F0, time stamp: 415, AID: 3 finished passing connector.
ThreadID: 0050f30700700000, CarID: 1, Object: F0, time stamp: 415, AID: 0 traveling to connector.
ThreadID: 0080fb0700700000, CarID: 2, Object: F0, time stamp: 415, AID: 3 finished passing connector.
ThreadID: 0080fb0700700000, CarID: 2, Object: F0, time stamp: 415, AID: 0 traveling to connector.
ThreadID: 0020eb0700700000, CarID: 0, Object: F0, time stamp: 416, AID: 3 finished passing connector.
ThreadID: 0020eb0700700000, CarID: 0, Object: F0, time stamp: 416, AID: 0 traveling to connector.
ThreadID: 00b0030800700000, CarID: 3, Object: F0, time stamp: 524, AID: 1 arrived at connector.
ThreadID: 0020eb0700700000, CarID: 0, Object: F0, time stamp: 524, AID: 1 arrived at connector.
ThreadID: 0050f30700700000, CarID: 1, Object: F0, time stamp: 524, AID: 1 arrived at connector.
ThreadID: 0050f30700700000, CarID: 1, Object: F0, time stamp: 524, AID: 2 started passing connector.
ThreadID: 0080fb0700700000, CarID: 2, Object: F0, time stamp: 524, AID: 1 arrived at connector.
ThreadID: 0080fb0700700000, CarID: 2, Object: F0, time stamp: 524, AID: 2 started passing connector.
ThreadID: 0020eb0700700000, CarID: 0, Object: F0, time stamp: 524, AID: 2 started passing connector.
ThreadID: 00b0030800700000, CarID: 3, Object: F0, time stamp: 524, AID: 2 started passing connector.
ThreadID: 0020eb0700700000, CarID: 0, Object: F0, time stamp: 624, AID: 3 finished passing connector.
ThreadID: 00b0030800700000, CarID: 3, Object: F0, time stamp: 624, AID: 3 finished passing connector.
ThreadID: 0050f30700700000, CarID: 1, Object: F0, time stamp: 624, AID: 3 finished passing connector.
ThreadID: 0080fb0700700000, CarID: 2, Object: F0, time stamp: 624, AID: 3 finished passing connector.
