ThreadID: 00508e0e00700000, CarID: 1, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00b09e0e00700000, CarID: 3, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0080960e00700000, CarID: 2, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0020860e00700000, CarID: 0, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00b09e0e00700000, CarID: 3, Object: F0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 0020860e00700000, CarID: 0, Object: F0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 0080960e00700000, CarID: 2, Object: F0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 0080960e00700000, CarID: 2, Object: F0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 0020860e00700000, CarID: 0, Object: F0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 00508e0e00700000, CarID: 1, Object: F0, time stamp: 110, AID: 1 arrived at connector.
ThreadID: 00508e0e00700000, CarID: 1, Object: F0, time stamp: 110, AID: 2 started passing connector.
ThreadID: 00b09e0e00700000, CarID: 3, Object: F0, time stamp: 110, AID: 2 started passing connector.
ThreadID: 0020860e00700000, CarID: 0, Object: F0, time stamp: 201, AID: 3 finished passing connector.
ThreadID: 0020860e00700000, CarID: 0, Object: F0, time stamp: 201, AID: 0 traveling to connector.
ThreadID: 0080960e00700000, CarID: 2, Object: F0, time stamp: 201, AID: 3 finished passing connector.
ThreadID: 0080960e00700000, CarID: 2, Object: F0, time stamp: 201, AID: 0 traveling to connector.
ThreadID: 00b09e0e00700000, CarID: 3, Object: F0, time stamp: 215, AID: 3 finished passing connector.
ThreadID: 00b09e0e00700000, CarID: 3, Object: F0, time stamp: 215, AID: 0 traveling to connector.
ThreadID: 00508e0e00700000, CarID: 1, Object: F0, time stamp: 215, AID: 3 finished passing connector.
ThreadID: 00508e0e00700000, CarID: 1, Object: F0, time stamp: 215, AID: 0 traveling to connector.
ThreadID: 0020860e00700000, CarID: 0, Object: F0, time stamp: 309, AID: 1 arrived at connector.
ThreadID: 0080960e00700000, CarID: 2, Object: F0, time stamp: 311, AID: 1 arrived at connector.
ThreadID: 0080960e00700000, CarID: 2, Object: F0, time stamp: 311, AID: 2 started passing connector.
ThreadID: 0020860e00700000, CarID: 0, Object: F0, time stamp: 311, AID: 2 started passing connector.
ThreadID: 00b09e0e00700000, CarID: 3, Object: F0, time stamp: 325, AID: 1 arrived at connector.
ThreadID: 00508e0e00700000, CarID: 1, Object: F0, time stamp: 325, AID: 1 arrived at connector.
ThreadID: 00508e0e00700000, CarID: 1, Object: F0, time stamp: 325, AID: 2 started passing connector.
ThreadID: 00b09e0e00700000, CarID: 3, Object: F0, time stamp: 325, AID: 2 started passing connector.
ThreadID: 0020860e00700000, CarID: 0, Object: F0, time stamp: 417, AID: 3 finished passing connector.
ThreadID: 0020860e00700000, CarID: 0, Object: F0, time stamp: 417, AID: 0 traveling to connector.
ThreadID: 0080960e00700000, CarID: 2, Object: F0, time stamp: 417, AID: 3 finished passing connector.
ThreadID: 0080960e00700000, CarID: 2, Object: F0, time stamp: 417, AID: 0 traveling to connector.
ThreadID: 00b09e0e00700000, CarID: 3, Object: F0, time stamp: 435, AID: 3 finished passing connector.
ThreadID: 00b09e0e00700000, CarID: 3, Object: F0, time stamp: 435, AID: 0 traveling to connector.
ThreadID: 00508e0e00700000, CarID: 1, Object: F0, time stamp: 435, AID: 3 finished passing connector.
ThreadID: 00508e0e00700000, CarID: 1, Object: F0, time stamp: 435, AID: 0 traveling to connector.
ThreadID: 0020860e00700000, CarID: 0, Object: F0, time stamp: 526, AID: 1 arrived at connector.
ThreadID: 0080960e00700000, CarID: 2, Object: F0, time stamp: 526, AID: 1 arrived at connector.
ThreadID: 0080960e00700000, CarID: 2, Object: F0, time stamp: 526, AID: 2 started passing connector.
ThreadID: 0020860e00700000, CarID: 0, Object: F0, time stamp: 526, AID: 2 started passing connector.
ThreadID: 00b09e0e00700000, CarID: 3, Object: F0, time stamp: 544, AID: 1 arrived at connector.
ThreadID: 00508e0e00700000, CarID: 1, Object: F0, time stamp: 544, AID: 1 arrived at connector.
ThreadID: 00508e0e00700000, CarID: 1, Object: F0, time stamp: 544, AID: 2 started passing connector.
ThreadID: 00b09e0e00700000, CarID: 3, Object: F0, time stamp: 544, AID: 2 started passing connector.
ThreadID: 0020860e00700000, CarID: 0, Object: F0, time stamp: 627, AID: 3 finished passing connector.
ThreadID: 0080960e00700000, CarID: 2, Object: F0, time stamp: 627, AID: 3 finished passing connector.
ThreadID: 00b09e0e00700000, CarID: 3, Object: F0, time stamp: 651, AID: 3 finished passing connector.
ThreadID: 00508e0e00700000, CarID: 1, Object: F0, time stamp: 651, AID: 3 finished passing connector.
