ThreadID: 0040c90c00700000, CarID: 0, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0000ea0c00700000, CarID: 4, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0070d10c00700000, CarID: 1, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00d0e10c00700000, CarID: 3, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0030f20c00700000, CarID: 5, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0060fa0c00700000, CarID: 6, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0090020d00700000, CarID: 7, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00a0d90c00700000, CarID: 2, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0030f20c00700000, CarID: 5, Object: C0, time stamp: 102, AID: 1 arrived at connector.
ThreadID: 0060fa0c00700000, CarID: 6, Object: C0, time stamp: 102, AID: 1 arrived at connector.
ThreadID: 0030f20c00700000, CarID: 5, Object: C0, time stamp: 102, AID: 2 started passing connector.
ThreadID: 0090020d00700000, CarID: 7, Object: C0, time stamp: 102, AID: 1 arrived at connector.
ThreadID: 00a0d90c00700000, CarID: 2, Object: C0, time stamp: 102, AID: 1 arrived at connector.
ThreadID: 0040c90c00700000, CarID: 0, Object: C0, time stamp: 110, AID: 1 arrived at connector.
ThreadID: 0000ea0c00700000, CarID: 4, Object: C0, time stamp: 110, AID: 1 arrived at connector.
ThreadID: 0070d10c00700000, CarID: 1, Object: C0, time stamp: 110, AID: 1 arrived at connector.
ThreadID: 00d0e10c00700000, CarID: 3, Object: C0, time stamp: 110, AID: 1 arrived at connector.
ThreadID: 0060fa0c00700000, CarID: 6, Object: C0, time stamp: 113, AID: 2 started passing connector.
ThreadID: 0070d10c00700000, CarID: 1, Object: C0, time stamp: 123, AID: 2 started passing connector.
ThreadID: 00a0d90c00700000, CarID: 2, Object: C0, time stamp: 135, AID: 2 started passing connector.
ThreadID: 0030f20c00700000, CarID: 5, Object: C0, time stamp: 202, AID: 3 finished passing connector.
ThreadID: 0030f20c00700000, CarID: 5, Object: C0, time stamp: 202, AID: 0 traveling to connector.
ThreadID: 0060fa0c00700000, CarID: 6, Object: C0, time stamp: 213, AID: 3 finished passing connector.
ThreadID: 0060fa0c00700000, CarID: 6, Object: C0, time stamp: 213, AID: 0 traveling to connector.
ThreadID: 0070d10c00700000, CarID: 1, Object: C0, time stamp: 226, AID: 3 finished passing connector.
ThreadID: 0070d10c00700000, CarID: 1, Object: C0, time stamp: 226, AID: 0 traveling to connector.
ThreadID: 00a0d90c00700000, CarID: 2, Object: C0, time stamp: 236, AID: 3 finished passing connector.
ThreadID: 00a0d90c00700000, CarID: 2, Object: C0, time stamp: 236, AID: 0 traveling to connector.
ThreadID: 00d0e10c00700000, CarID: 3, Object: C0, time stamp: 251, AID: 2 started passing connector.
ThreadID: 0000ea0c00700000, CarID: 4, Object: C0, time stamp: 251, AID: 2 started passing connector.
ThreadID: 0090020d00700000, CarID: 7, Object: C0, time stamp: 263, AID: 2 started passing connector.
ThreadID: 0040c90c00700000, CarID: 0, Object: C0, time stamp: 274, AID: 2 started passing connector.
ThreadID: 0030f20c00700000, CarID: 5, Object: C0, time stamp: 310, AID: 1 arrived at connector.
ThreadID: 0060fa0c00700000, CarID: 6, Object: C0, time stamp: 323, AID: 1 arrived at connector.
ThreadID: 0030f20c00700000, CarID: 5, Object: C0, time stamp: 325, AID: 2 started passing connector.
ThreadID: 0070d10c00700000, CarID: 1, Object: C0, time stamp: 327, AID: 1 arrived at connector.
ThreadID: 0060fa0c00700000, CarID: 6, Object: C0, time stamp: 335, AID: 2 started passing connector.
ThreadID: 00a0d90c00700000, CarID: 2, Object: C0, time stamp: 343, AID: 1 arrived at connector.
ThreadID: 0070d10c00700000, CarID: 1, Object: C0, time stamp: 351, AID: 2 started passing connector.
ThreadID: 00a0d90c00700000, CarID: 2, Object: C0, time stamp: 363, AID: 2 started passing connector.
ThreadID: 00d0e10c00700000, CarID: 3, Object: C0, time stamp: 363, AID: 3 finished passing connector.
ThreadID: 00d0e10c00700000, CarID: 3, Object: C0, time stamp: 363, AID: 0 traveling to connector.
ThreadID: 0000ea0c00700000, CarID: 4, Object: C0, time stamp: 363, AID: 3 finished passing connector.
ThreadID: 0000ea0c00700000, CarID: 4, Object: C0, time stamp: 363, AID: 0 traveling to connector.
ThreadID: 0090020d00700000, CarID: 7, Object: C0, time stamp: 373, AID: 3 finished passing connector.
ThreadID: 0090020d00700000, CarID: 7, Object: C0, time stamp: 373, AID: 0 traveling to connector.
ThreadID: 0040c90c00700000, CarID: 0, Object: C0, time stamp: 376, AID: 3 finished passing connector.
ThreadID: 0040c90c00700000, CarID: 0, Object: C0, time stamp: 376, AID: 0 traveling to connector.
ThreadID: 0030f20c00700000, CarID: 5, Object: C0, time stamp: 426, AID: 3 finished passing connector.
ThreadID: 0030f20c00700000, CarID: 5, Object: C0, time stamp: 426, AID: 0 traveling to connector.
ThreadID: 0060fa0c00700000, CarID: 6, Object: C0, time stamp: 436, AID: 3 finished passing connector.
ThreadID: 0060fa0c00700000, CarID: 6, Object: C0, time stamp: 436, AID: 0 traveling to connector.
ThreadID: 0070d10c00700000, CarID: 1, Object: C0, time stamp: 452, AID: 3 finished passing connector.
ThreadID: 0070d10c00700000, CarID: 1, Object: C0, time stamp: 452, AID: 0 traveling to connector.
ThreadID: 00a0d90c00700000, CarID: 2, Object: C0, time stamp: 468, AID: 3 finished passing connector.
ThreadID: 00a0d90c00700000, CarID: 2, Object: C0, time stamp: 468, AID: 0 traveling to connector.
ThreadID: 00d0e10c00700000, CarID: 3, Object: C0, time stamp: 468, AID: 1 arrived at connector.
ThreadID: 00d0e10c00700000, CarID: 3, Object: C0, time stamp: 468, AID: 2 started passing connector.
ThreadID: 0000ea0c00700000, CarID: 4, Object: C0, time stamp: 468, AID: 1 arrived at connector.
ThreadID: 0090020d00700000, CarID: 7, Object: C0, time stamp: 476, AID: 1 arrived at connector.
ThreadID: 0040c90c00700000, CarID: 0, Object: C0, time stamp: 477, AID: 1 arrived at connector.
ThreadID: 0000ea0c00700000, CarID: 4, Object: C0, time stamp: 478, AID: 2 started passing connector.
ThreadID: 0090020d00700000, CarID: 7, Object: C0, time stamp: 491, AID: 2 started passing connector.
ThreadID: 0040c90c00700000, CarID: 0, Object: C0, time stamp: 502, AID: 2 started passing connector.
ThreadID: 0030f20c00700000, CarID: 5, Object: C0, time stamp: 527, AID: 1 arrived at connector.
ThreadID: 0030f20c00700000, CarID: 5, Object: C0, time stamp: 538, AID: 2 started passing connector.
ThreadID: 0060fa0c00700000, CarID: 6, Object: C0, time stamp: 538, AID: 1 arrived at connector.
ThreadID: 0060fa0c00700000, CarID: 6, Object: C0, time stamp: 549, AID: 2 started passing connector.
ThreadID: 0070d10c00700000, CarID: 1, Object: C0, time stamp: 552, AID: 1 arrived at connector.
ThreadID: 0070d10c00700000, CarID: 1, Object: C0, time stamp: 563, AID: 2 started passing connector.
ThreadID: 00a0d90c00700000, CarID: 2, Object: C0, time stamp: 569, AID: 1 arrived at connector.
ThreadID: 00d0e10c00700000, CarID: 3, Object: C0, time stamp: 569, AID: 3 finished passing connector.
ThreadID: 00d0e10c00700000, CarID: 3, Object: C0, time stamp: 569, AID: 0 traveling to connector.
ThreadID: 00a0d90c00700000, CarID: 2, Object: C0, time stamp: 581, AID: 2 started passing connector.
ThreadID: 0000ea0c00700000, CarID: 4, Object: C0, time stamp: 581, AID: 3 finished passing connector.
ThreadID: 0000ea0c00700000, CarID: 4, Object: C0, time stamp: 581, AID: 0 traveling to connector.
ThreadID: 0090020d00700000, CarID: 7, Object: C0, time stamp: 593, AID: 3 finished passing connector.
ThreadID: 0090020d00700000, CarID: 7, Object: C0, time stamp: 593, AID: 0 traveling to connector.
ThreadID: 0040c90c00700000, CarID: 0, Object: C0, time stamp: 605, AID: 3 finished passing connector.
ThreadID: 0040c90c00700000, CarID: 0, Object: C0, time stamp: 605, AID: 0 traveling to connector.
ThreadID: 0030f20c00700000, CarID: 5, Object: C0, time stamp: 643, AID: 3 finished passing connector.
ThreadID: 0060fa0c00700000, CarID: 6, Object: C0, time stamp: 652, AID: 3 finished passing connector.
ThreadID: 0070d10c00700000, CarID: 1, Object: C0, time stamp: 669, AID: 3 finished passing connector.
ThreadID: 00d0e10c00700000, CarID: 3, Object: C0, time stamp: 675, AID: 1 arrived at connector.
ThreadID: 00d0e10c00700000, CarID: 3, Object: C0, time stamp: 685, AID: 2 started passing connector.
ThreadID: 0000ea0c00700000, CarID: 4, Object: C0, time stamp: 685, AID: 1 arrived at connector.
ThreadID: 0090020d00700000, CarID: 7, Object: C0, time stamp: 700, AID: 1 arrived at connector.
ThreadID: 0000ea0c00700000, CarID: 4, Object: C0, time stamp: 700, AID: 2 started passing connector.
ThreadID: 00a0d90c00700000, CarID: 2, Object: C0, time stamp: 700, AID: 3 finished passing connector.
ThreadID: 0040c90c00700000, CarID: 0, Object: C0, time stamp: 710, AID: 1 arrived at connector.
ThreadID: 0090020d00700000, CarID: 7, Object: C0, time stamp: 710, AID: 2 started passing connector.
ThreadID: 0040c90c00700000, CarID: 0, Object: C0, time stamp: 726, AID: 2 started passing connector.
ThreadID: 00d0e10c00700000, CarID: 3, Object: C0, time stamp: 787, AID: 3 finished passing connector.
ThreadID: 0000ea0c00700000, CarID: 4, Object: C0, time stamp: 803, AID: 3 finished passing connector.
ThreadID: 0090020d00700000, CarID: 7, Object: C0, time stamp: 820, AID: 3 finished passing connector.
ThreadID: 0040c90c00700000, CarID: 0, Object: C0, time stamp: 827, AID: 3 finished passing connector.
