ThreadID: 0010860d00700000, CarID: 0, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00d0a60d00700000, CarID: 4, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0000af0d00700000, CarID: 5, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0030b70d00700000, CarID: 6, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00408e0d00700000, CarID: 1, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0070960d00700000, CarID: 2, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0060bf0d00700000, CarID: 7, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00a09e0d00700000, CarID: 3, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0010860d00700000, CarID: 0, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 00d0a60d00700000, CarID: 4, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 0070960d00700000, CarID: 2, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 0030b70d00700000, CarID: 6, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 0000af0d00700000, CarID: 5, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 00a09e0d00700000, CarID: 3, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 0060bf0d00700000, CarID: 7, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 00408e0d00700000, CarID: 1, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 0010860d00700000, CarID: 0, Object: C0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 00d0a60d00700000, CarID: 4, Object: C0, time stamp: 110, AID: 2 started passing connector.
ThreadID: 0030b70d00700000, CarID: 6, Object: C0, time stamp: 121, AID: 2 started passing connector.
ThreadID: 0000af0d00700000, CarID: 5, Object: C0, time stamp: 133, AID: 2 started passing connector.
ThreadID: 0060bf0d00700000, CarID: 7, Object: C0, time stamp: 145, AID: 2 started passing connector.
ThreadID: 0070960d00700000, CarID: 2, Object: C0, time stamp: 160, AID: 2 started passing connector.
ThreadID: 00408e0d00700000, CarID: 1, Object: C0, time stamp: 175, AID: 2 started passing connector.
ThreadID: 00a09e0d00700000, CarID: 3, Object: C0, time stamp: 185, AID: 2 started passing connector.
ThreadID: 0010860d00700000, CarID: 0, Object: C0, time stamp: 201, AID: 3 finished passing connector.
ThreadID: 0010860d00700000, CarID: 0, Object: C0, time stamp: 201, AID: 0 traveling to connector.
ThreadID: 00d0a60d00700000, CarID: 4, Object: C0, time stamp: 210, AID: 3 finished passing connector.
ThreadID: 00d0a60d00700000, CarID: 4, Object: C0, time stamp: 210, AID: 0 traveling to connector.
ThreadID: 0030b70d00700000, CarID: 6, Object: C0, time stamp: 225, AID: 3 finished passing connector.
ThreadID: 0030b70d00700000, CarID: 6, Object: C0, time stamp: 225, AID: 0 traveling to connector.
ThreadID: 0000af0d00700000, CarID: 5, Object: C0, time stamp: 234, AID: 3 finished passing connector.
ThreadID: 0000af0d00700000, CarID: 5, Object: C0, time stamp: 234, AID: 0 traveling to connector.
ThreadID: 0060bf0d00700000, CarID: 7, Object: C0, time stamp: 249, AID: 3 finished passing connector.
ThreadID: 0060bf0d00700000, CarID: 7, Object: C0, time stamp: 249, AID: 0 traveling to connector.
ThreadID: 0070960d00700000, CarID: 2, Object: C0, time stamp: 263, AID: 3 finished passing connector.
ThreadID: 0070960d00700000, CarID: 2, Object: C0, time stamp: 263, AID: 0 traveling to connector.
ThreadID: 00408e0d00700000, CarID: 1, Object: C0, time stamp: 279, AID: 3 finished passing connector.
ThreadID: 00408e0d00700000, CarID: 1, Object: C0, time stamp: 279, AID: 0 traveling to connector.
ThreadID: 00a09e0d00700000, CarID: 3, Object: C0, time stamp: 286, AID: 3 finished passing connector.
ThreadID: 00a09e0d00700000, CarID: 3, Object: C0, time stamp: 286, AID: 0 traveling to connector.
ThreadID: 0010860d00700000, CarID: 0, Object: C0, time stamp: 302, AID: 1 arrived at connector.
ThreadID: 0010860d00700000, CarID: 0, Object: C0, time stamp: 302, AID: 2 started passing connector.
ThreadID: 00d0a60d00700000, CarID: 4, Object: C0, time stamp: 310, AID: 1 arrived at connector.
ThreadID: 00d0a60d00700000, CarID: 4, Object: C0, time stamp: 323, AID: 2 started passing connector.
ThreadID: 0030b70d00700000, CarID: 6, Object: C0, time stamp: 326, AID: 1 arrived at connector.
ThreadID: 0030b70d00700000, CarID: 6, Object: C0, time stamp: 338, AID: 2 started passing connector.
ThreadID: 0000af0d00700000, CarID: 5, Object: C0, time stamp: 338, AID: 1 arrived at connector.
ThreadID: 0000af0d00700000, CarID: 5, Object: C0, time stamp: 348, AID: 2 started passing connector.
ThreadID: 0060bf0d00700000, CarID: 7, Object: C0, time stamp: 352, AID: 1 arrived at connector.
ThreadID: 0060bf0d00700000, CarID: 7, Object: C0, time stamp: 363, AID: 2 started passing connector.
ThreadID: 0070960d00700000, CarID: 2, Object: C0, time stamp: 364, AID: 1 arrived at connector.
ThreadID: 0070960d00700000, CarID: 2, Object: C0, time stamp: 376, AID: 2 started passing connector.
ThreadID: 00408e0d00700000, CarID: 1, Object: C0, time stamp: 385, AID: 1 arrived at connector.
ThreadID: 00a09e0d00700000, CarID: 3, Object: C0, time stamp: 386, AID: 1 arrived at connector.
ThreadID: 00408e0d00700000, CarID: 1, Object: C0, time stamp: 396, AID: 2 started passing connector.
ThreadID: 00a09e0d00700000, CarID: 3, Object: C0, time stamp: 411, AID: 2 started passing connector.
ThreadID: 0010860d00700000, CarID: 0, Object: C0, time stamp: 411, AID: 3 finished passing connector.
ThreadID: 0010860d00700000, CarID: 0, Object: C0, time stamp: 411, AID: 0 traveling to connector.
ThreadID: 00d0a60d00700000, CarID: 4, Object: C0, time stamp: 425, AID: 3 finished passing connector.
ThreadID: 00d0a60d00700000, CarID: 4, Object: C0, time stamp: 425, AID: 0 traveling to connector.
ThreadID: 0030b70d00700000, CarID: 6, Object: C0, time stamp: 443, AID: 3 finished passing connector.
ThreadID: 0030b70d00700000, CarID: 6, Object: C0, time stamp: 443, AID: 0 traveling to connector.
ThreadID: 0000af0d00700000, CarID: 5, Object: C0, time stamp: 451, AID: 3 finished passing connector.
ThreadID: 0000af0d00700000, CarID: 5, Object: C0, time stamp: 451, AID: 0 traveling to connector.
ThreadID: 0060bf0d00700000, CarID: 7, Object: C0, time stamp: 468, AID: 3 finished passing connector.
ThreadID: 0060bf0d00700000, CarID: 7, Object: C0, time stamp: 468, AID: 0 traveling to connector.
ThreadID: 0070960d00700000, CarID: 2, Object: C0, time stamp: 477, AID: 3 finished passing connector.
ThreadID: 0070960d00700000, CarID: 2, Object: C0, time stamp: 477, AID: 0 traveling to connector.
ThreadID: 00408e0d00700000, CarID: 1, Object: C0, time stamp: 499, AID: 3 finished passing connector.
ThreadID: 00408e0d00700000, CarID: 1, Object: C0, time stamp: 499, AID: 0 traveling to connector.
ThreadID: 00a09e0d00700000, CarID: 3, Object: C0, time stamp: 515, AID: 3 finished passing connector.
ThreadID: 00a09e0d00700000, CarID: 3, Object: C0, time stamp: 515, AID: 0 traveling to connector.
ThreadID: 0010860d00700000, CarID: 0, Object: C0, time stamp: 515, AID: 1 arrived at connector.
ThreadID: 0010860d00700000, CarID: 0, Object: C0, time stamp: 516, AID: 2 started passing connector.
ThreadID: 00d0a60d00700000, CarID: 4, Object: C0, time stamp: 529, AID: 1 arrived at connector.
ThreadID: 00d0a60d00700000, CarID: 4, Object: C0, time stamp: 540, AID: 2 started passing connector.
ThreadID: 0030b70d00700000, CarID: 6, Object: C0, time stamp: 552, AID: 1 arrived at connector.
ThreadID: 0000af0d00700000, CarID: 5, Object: C0, time stamp: 552, AID: 1 arrived at connector.
ThreadID: 0030b70d00700000, CarID: 6, Object: C0, time stamp: 564, AID: 2 started passing connector.
ThreadID: 0060bf0d00700000, CarID: 7, Object: C0, time stamp: 569, AID: 1 arrived at connector.
ThreadID: 0000af0d00700000, CarID: 5, Object: C0, time stamp: 576, AID: 2 started passing connector.
ThreadID: 0070960d00700000, CarID: 2, Object: C0, time stamp: 580, AID: 1 arrived at connector.
ThreadID: 0060bf0d00700000, CarID: 7, Object: C0, time stamp: 588, AID: 2 started passing connector.
ThreadID: 00408e0d00700000, CarID: 1, Object: C0, time stamp: 602, AID: 1 arrived at connector.
ThreadID: 0070960d00700000, CarID: 2, Object: C0, time stamp: 604, AID: 2 started passing connector.
ThreadID: 00408e0d00700000, CarID: 1, Object: C0, time stamp: 619, AID: 2 started passing connector.
ThreadID: 00a09e0d00700000, CarID: 3, Object: C0, time stamp: 621, AID: 1 arrived at connector.
ThreadID: 0010860d00700000, CarID: 0, Object: C0, time stamp: 621, AID: 3 finished passing connector.
ThreadID: 00a09e0d00700000, CarID: 3, Object: C0, time stamp: 636, AID: 2 started passing connector.
ThreadID: 00d0a60d00700000, CarID: 4, Object: C0, time stamp: 643, AID: 3 finished passing connector.
ThreadID: 0030b70d00700000, CarID: 6, Object: C0, time stamp: 668, AID: 3 finished passing connector.
ThreadID: 0000af0d00700000, CarID: 5, Object: C0, time stamp: 677, AID: 3 finished passing connector.
ThreadID: 0060bf0d00700000, CarID: 7, Object: C0, time stamp: 689, AID: 3 finished passing connector.
ThreadID: 0070960d00700000, CarID: 2, Object: C0, time stamp: 710, AID: 3 finished passing connector.
ThreadID: 00408e0d00700000, CarID: 1, Object: C0, time stamp: 724, AID: 3 finished passing connector.
ThreadID: 00a09e0d00700000, CarID: 3, Object: C0, time stamp: 746, AID: 3 finished passing connector.
