ThreadID: 00009f0e00700000, CarID: 1, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00d0960e00700000, CarID: 0, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00c0bf0e00700000, CarID: 5, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00f0c70e00700000, CarID: 6, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0020d00e00700000, CarID: 7, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0030a70e00700000, CarID: 2, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0060af0e00700000, CarID: 3, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0090b70e00700000, CarID: 4, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00009f0e00700000, CarID: 1, Object: C0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 00d0960e00700000, CarID: 0, Object: C0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 00009f0e00700000, CarID: 1, Object: C0, time stamp: 107, AID: 2 started passing connector.
ThreadID: 0030a70e00700000, CarID: 2, Object: C0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 0020d00e00700000, CarID: 7, Object: C0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 00c0bf0e00700000, CarID: 5, Object: C0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 00f0c70e00700000, CarID: 6, Object: C0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 0090b70e00700000, CarID: 4, Object: C0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 0060af0e00700000, CarID: 3, Object: C0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 0020d00e00700000, CarID: 7, Object: C0, time stamp: 122, AID: 2 started passing connector.
ThreadID: 00c0bf0e00700000, CarID: 5, Object: C0, time stamp: 132, AID: 2 started passing connector.
ThreadID: 0060af0e00700000, CarID: 3, Object: C0, time stamp: 147, AID: 2 started passing connector.
ThreadID: 00009f0e00700000, CarID: 1, Object: C0, time stamp: 208, AID: 3 finished passing connector.
ThreadID: 00009f0e00700000, CarID: 1, Object: C0, time stamp: 208, AID: 0 traveling to connector.
ThreadID: 0020d00e00700000, CarID: 7, Object: C0, time stamp: 233, AID: 3 finished passing connector.
ThreadID: 0020d00e00700000, CarID: 7, Object: C0, time stamp: 233, AID: 0 traveling to connector.
ThreadID: 00c0bf0e00700000, CarID: 5, Object: C0, time stamp: 234, AID: 3 finished passing connector.
ThreadID: 00c0bf0e00700000, CarID: 5, Object: C0, time stamp: 234, AID: 0 traveling to connector.
ThreadID: 0060af0e00700000, CarID: 3, Object: C0, time stamp: 250, AID: 3 finished passing connector.
ThreadID: 0060af0e00700000, CarID: 3, Object: C0, time stamp: 250, AID: 0 traveling to connector.
ThreadID: 0030a70e00700000, CarID: 2, Object: C0, time stamp: 250, AID: 2 started passing connector.
ThreadID: 00d0960e00700000, CarID: 0, Object: C0, time stamp: 265, AID: 2 started passing connector.
ThreadID: 00f0c70e00700000, CarID: 6, Object: C0, time stamp: 277, AID: 2 started passing connector.
ThreadID: 0090b70e00700000, CarID: 4, Object: C0, time stamp: 288, AID: 2 started passing connector.
ThreadID: 00009f0e00700000, CarID: 1, Object: C0, time stamp: 317, AID: 1 arrived at connector.
ThreadID: 00009f0e00700000, CarID: 1, Object: C0, time stamp: 332, AID: 2 started passing connector.
ThreadID: 00c0bf0e00700000, CarID: 5, Object: C0, time stamp: 337, AID: 1 arrived at connector.
ThreadID: 0020d00e00700000, CarID: 7, Object: C0, time stamp: 338, AID: 1 arrived at connector.
ThreadID: 00c0bf0e00700000, CarID: 5, Object: C0, time stamp: 352, AID: 2 started passing connector.
ThreadID: 0060af0e00700000, CarID: 3, Object: C0, time stamp: 353, AID: 1 arrived at connector.
ThreadID: 0020d00e00700000, CarID: 7, Object: C0, time stamp: 362, AID: 2 started passing connector.
ThreadID: 0030a70e00700000, CarID: 2, Object: C0, time stamp: 362, AID: 3 finished passing connector.
ThreadID: 0030a70e00700000, CarID: 2, Object: C0, time stamp: 362, AID: 0 traveling to connector.
ThreadID: 0060af0e00700000, CarID: 3, Object: C0, time stamp: 377, AID: 2 started passing connector.
ThreadID: 00d0960e00700000, CarID: 0, Object: C0, time stamp: 378, AID: 3 finished passing connector.
ThreadID: 00d0960e00700000, CarID: 0, Object: C0, time stamp: 378, AID: 0 traveling to connector.
ThreadID: 00f0c70e00700000, CarID: 6, Object: C0, time stamp: 378, AID: 3 finished passing connector.
ThreadID: 00f0c70e00700000, CarID: 6, Object: C0, time stamp: 378, AID: 0 traveling to connector.
ThreadID: 0090b70e00700000, CarID: 4, Object: C0, time stamp: 391, AID: 3 finished passing connector.
ThreadID: 0090b70e00700000, CarID: 4, Object: C0, time stamp: 391, AID: 0 traveling to connector.
ThreadID: 00009f0e00700000, CarID: 1, Object: C0, time stamp: 433, AID: 3 finished passing connector.
ThreadID: 00009f0e00700000, CarID: 1, Object: C0, time stamp: 433, AID: 0 traveling to connector.
ThreadID: 00c0bf0e00700000, CarID: 5, Object: C0, time stamp: 458, AID: 3 finished passing connector.
ThreadID: 00c0bf0e00700000, CarID: 5, Object: C0, time stamp: 458, AID: 0 traveling to connector.
ThreadID: 0030a70e00700000, CarID: 2, Object: C0, time stamp: 467, AID: 1 arrived at connector.
ThreadID: 0020d00e00700000, CarID: 7, Object: C0, time stamp: 467, AID: 3 finished passing connector.
ThreadID: 0020d00e00700000, CarID: 7, Object: C0, time stamp: 467, AID: 0 traveling to connector.
ThreadID: 00d0960e00700000, CarID: 0, Object: C0, time stamp: 483, AID: 1 arrived at connector.
ThreadID: 00f0c70e00700000, CarID: 6, Object: C0, time stamp: 483, AID: 1 arrived at connector.
ThreadID: 0060af0e00700000, CarID: 3, Object: C0, time stamp: 483, AID: 3 finished passing connector.
ThreadID: 0060af0e00700000, CarID: 3, Object: C0, time stamp: 483, AID: 0 traveling to connector.
ThreadID: 00d0960e00700000, CarID: 0, Object: C0, time stamp: 483, AID: 2 started passing connector.
ThreadID: 0030a70e00700000, CarID: 2, Object: C0, time stamp: 498, AID: 2 started passing connector.
ThreadID: 0090b70e00700000, CarID: 4, Object: C0, time stamp: 499, AID: 1 arrived at connector.
ThreadID: 00f0c70e00700000, CarID: 6, Object: C0, time stamp: 513, AID: 2 started passing connector.
ThreadID: 0090b70e00700000, CarID: 4, Object: C0, time stamp: 527, AID: 2 started passing connector.
ThreadID: 00009f0e00700000, CarID: 1, Object: C0, time stamp: 541, AID: 1 arrived at connector.
ThreadID: 00009f0e00700000, CarID: 1, Object: C0, time stamp: 553, AID: 2 started passing connector.
ThreadID: 00c0bf0e00700000, CarID: 5, Object: C0, time stamp: 559, AID: 1 arrived at connector.
ThreadID: 00c0bf0e00700000, CarID: 5, Object: C0, time stamp: 572, AID: 2 started passing connector.
ThreadID: 0020d00e00700000, CarID: 7, Object: C0, time stamp: 572, AID: 1 arrived at connector.
ThreadID: 0020d00e00700000, CarID: 7, Object: C0, time stamp: 587, AID: 2 started passing connector.
ThreadID: 0060af0e00700000, CarID: 3, Object: C0, time stamp: 588, AID: 1 arrived at connector.
ThreadID: 00d0960e00700000, CarID: 0, Object: C0, time stamp: 588, AID: 3 finished passing connector.
ThreadID: 00d0960e00700000, CarID: 0, Object: C0, time stamp: 588, AID: 0 traveling to connector.
ThreadID: 0060af0e00700000, CarID: 3, Object: C0, time stamp: 598, AID: 2 started passing connector.
ThreadID: 0030a70e00700000, CarID: 2, Object: C0, time stamp: 603, AID: 3 finished passing connector.
ThreadID: 0030a70e00700000, CarID: 2, Object: C0, time stamp: 603, AID: 0 traveling to connector.
ThreadID: 00f0c70e00700000, CarID: 6, Object: C0, time stamp: 617, AID: 3 finished passing connector.
ThreadID: 00f0c70e00700000, CarID: 6, Object: C0, time stamp: 617, AID: 0 traveling to connector.
ThreadID: 0090b70e00700000, CarID: 4, Object: C0, time stamp: 628, AID: 3 finished passing connector.
ThreadID: 0090b70e00700000, CarID: 4, Object: C0, time stamp: 628, AID: 0 traveling to connector.
