ThreadID: 0020890000700000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00b0a10000700000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0050910000700000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0080990000700000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 00e0a90000700000, CarID: 4, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0010b20000700000, CarID: 5, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 0020890000700000, CarID: 0, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 00e0a90000700000, CarID: 4, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 0020890000700000, CarID: 0, Object: N0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 00b0a10000700000, CarID: 3, Object: N0, time stamp: 102, AID: 1 arrived at connector.
ThreadID: 0010b20000700000, CarID: 5, Object: N0, time stamp: 102, AID: 1 arrived at connector.
ThreadID: 0050910000700000, CarID: 1, Object: N0, time stamp: 301, AID: 1 arrived at connector.
ThreadID: 0050910000700000, CarID: 1, Object: N0, time stamp: 312, AID: 2 started passing connector.
ThreadID: 0020890000700000, CarID: 0, Object: N0, time stamp: 502, AID: 3 finished passing connector.
ThreadID: 0020890000700000, CarID: 0, Object: N0, time stamp: 502, AID: 0 traveling to connector.
ThreadID: 0080990000700000, CarID: 2, Object: N0, time stamp: 602, AID: 1 arrived at connector.
ThreadID: 0020890000700000, CarID: 0, Object: N0, time stamp: 602, AID: 1 arrived at connector.
ThreadID: 00e0a90000700000, CarID: 4, Object: N0, time stamp: 617, AID: 2 started passing connector.
ThreadID: 00b0a10000700000, CarID: 3, Object: N0, time stamp: 629, AID: 2 started passing connector.
ThreadID: 0010b20000700000, CarID: 5, Object: N0, time stamp: 644, AID: 2 started passing connector.
ThreadID: 0050910000700000, CarID: 1, Object: N0, time stamp: 718, AID: 3 finished passing connector.
ThreadID: 0050910000700000, CarID: 1, Object: N0, time stamp: 718, AID: 0 traveling to connector.
ThreadID: 00e0a90000700000, CarID: 4, Object: N0, time stamp: 1018, AID: 3 finished passing connector.
ThreadID: 00e0a90000700000, CarID: 4, Object: N0, time stamp: 1018, AID: 0 traveling to connector.
ThreadID: 0050910000700000, CarID: 1, Object: N0, time stamp: 1018, AID: 1 arrived at connector.
ThreadID: 00b0a10000700000, CarID: 3, Object: N0, time stamp: 1038, AID: 3 finished passing connector.
ThreadID: 00b0a10000700000, CarID: 3, Object: N0, time stamp: 1038, AID: 0 traveling to connector.
ThreadID: 0010b20000700000, CarID: 5, Object: N0, time stamp: 1048, AID: 3 finished passing connector.
ThreadID: 0010b20000700000, CarID: 5, Object: N0, time stamp: 1048, AID: 0 traveling to connector.
ThreadID: 00e0a90000700000, CarID: 4, Object: N0, time stamp: 1118, AID: 1 arrived at connector.
ThreadID: 0080990000700000, CarID: 2, Object: N0, time stamp: 1129, AID: 2 started passing connector.
ThreadID: 00b0a10000700000, CarID: 3, Object: N0, time stamp: 1142, AID: 1 arrived at connector.
ThreadID: 0020890000700000, CarID: 0, Object: N0, time stamp: 1144, AID: 2 started passing connector.
ThreadID: 0010b20000700000, CarID: 5, Object: N0, time stamp: 1151, AID: 1 arrived at connector.
ThreadID: 0050910000700000, CarID: 1, Object: N0, time stamp: 1534, AID: 2 started passing connector.
ThreadID: 0080990000700000, CarID: 2, Object: N0, time stamp: 1540, AID: 3 finished passing connector.
ThreadID: 0080990000700000, CarID: 2, Object: N0, time stamp: 1540, AID: 0 traveling to connector.
ThreadID: 0020890000700000, CarID: 0, Object: N0, time stamp: 1550, AID: 3 finished passing connector.
ThreadID: 0020890000700000, CarID: 0, Object: N0, time stamp: 1550, AID: 0 traveling to connector.
ThreadID: 00e0a90000700000, CarID: 4, Object: N0, time stamp: 1643, AID: 2 started passing connector.
ThreadID: 0020890000700000, CarID: 0, Object: N0, time stamp: 1652, AID: 1 arrived at connector.
ThreadID: 00b0a10000700000, CarID: 3, Object: N0, time stamp: 1660, AID: 2 started passing connector.
ThreadID: 0010b20000700000, CarID: 5, Object: N0, time stamp: 1671, AID: 2 started passing connector.
ThreadID: 0050910000700000, CarID: 1, Object: N0, time stamp: 1936, AID: 3 finished passing connector.
ThreadID: 0050910000700000, CarID: 1, Object: N0, time stamp: 1936, AID: 0 traveling to connector.
ThreadID: 00e0a90000700000, CarID: 4, Object: N0, time stamp: 2052, AID: 3 finished passing connector.
ThreadID: 00e0a90000700000, CarID: 4, Object: N0, time stamp: 2052, AID: 0 traveling to connector.
ThreadID: 00b0a10000700000, CarID: 3, Object: N0, time stamp: 2065, AID: 3 finished passing connector.
ThreadID: 00b0a10000700000, CarID: 3, Object: N0, time stamp: 2065, AID: 0 traveling to connector.
ThreadID: 0010b20000700000, CarID: 5, Object: N0, time stamp: 2075, AID: 3 finished passing connector.
ThreadID: 0010b20000700000, CarID: 5, Object: N0, time stamp: 2075, AID: 0 traveling to connector.
ThreadID: 0080990000700000, CarID: 2, Object: N0, time stamp: 2148, AID: 1 arrived at connector.
ThreadID: 00e0a90000700000, CarID: 4, Object: N0, time stamp: 2162, AID: 1 arrived at connector.
ThreadID: 00b0a10000700000, CarID: 3, Object: N0, time stamp: 2166, AID: 1 arrived at connector.
ThreadID: 00e0a90000700000, CarID: 4, Object: N0, time stamp: 2172, AID: 2 started passing connector.
ThreadID: 0010b20000700000, CarID: 5, Object: N0, time stamp: 2182, AID: 1 arrived at connector.
ThreadID: 00b0a10000700000, CarID: 3, Object: N0, time stamp: 2185, AID: 2 started passing connector.
ThreadID: 0020890000700000, CarID: 0, Object: N0, time stamp: 2196, AID: 2 started passing connector.
ThreadID: 0050910000700000, CarID: 1, Object: N0, time stamp: 2236, AID: 1 arrived at connector.
ThreadID: 0050910000700000, CarID: 1, Object: N0, time stamp: 2251, AID: 2 started passing connector.
ThreadID: 00e0a90000700000, CarID: 4, Object: N0, time stamp: 2577, AID: 3 finished passing connector.
ThreadID: 00b0a10000700000, CarID: 3, Object: N0, time stamp: 2586, AID: 3 finished passing connector.
ThreadID: 0020890000700000, CarID: 0, Object: N0, time stamp: 2601, AID: 3 finished passing connector.
ThreadID: 0080990000700000, CarID: 2, Object: N0, time stamp: 2663, AID: 2 started passing connector.
ThreadID: 0050910000700000, CarID: 1, Object: N0, time stamp: 2663, AID: 3 finished passing connector.
ThreadID: 0010b20000700000, CarID: 5, Object: N0, time stamp: 2713, AID: 2 started passing connector.
ThreadID: 0080990000700000, CarID: 2, Object: N0, time stamp: 3064, AID: 3 finished passing connector.
ThreadID: 0080990000700000, CarID: 2, Object: N0, time stamp: 3064, AID: 0 traveling to connector.
ThreadID: 0010b20000700000, CarID: 5, Object: N0, time stamp: 3118, AID: 3 finished passing connector.
ThreadID: 0080990000700000, CarID: 2, Object: N0, time stamp: 3674, AID: 1 arrived at connector.
ThreadID: 0080990000700000, CarID: 2, Object: N0, time stamp: 4186, AID: 2 started passing connector.
ThreadID: 0080990000700000, CarID: 2, Object: N0, time stamp: 4591, AID: 3 finished passing connector.
