ThreadID: 40f6bf69577d0000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d6bf68577d0000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c63f68577d0000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e63f69577d0000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d6bf68577d0000, CarID: 2, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40d6bf68577d0000, CarID: 2, Object: N0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40c63f68577d0000, CarID: 3, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f6bf69577d0000, CarID: 0, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e63f69577d0000, CarID: 1, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e63f69577d0000, CarID: 1, Object: N0, time stamp: 110, AID: 2 started passing connector.
ThreadID: 40d6bf68577d0000, CarID: 2, Object: N0, time stamp: 200, AID: 3 finished passing connector.
ThreadID: 40d6bf68577d0000, CarID: 2, Object: N0, time stamp: 200, AID: 0 traveling to connector.
ThreadID: 40e63f69577d0000, CarID: 1, Object: N0, time stamp: 211, AID: 3 finished passing connector.
ThreadID: 40e63f69577d0000, CarID: 1, Object: N0, time stamp: 211, AID: 0 traveling to connector.
ThreadID: 40f6bf69577d0000, CarID: 0, Object: N0, time stamp: 211, AID: 2 started passing connector.
ThreadID: 40c63f68577d0000, CarID: 3, Object: N0, time stamp: 221, AID: 2 started passing connector.
ThreadID: 40d6bf68577d0000, CarID: 2, Object: N0, time stamp: 300, AID: 1 arrived at connector.
ThreadID: 40d6bf68577d0000, CarID: 2, Object: N0, time stamp: 312, AID: 2 started passing connector.
ThreadID: 40e63f69577d0000, CarID: 1, Object: N0, time stamp: 312, AID: 1 arrived at connector.
ThreadID: 40e63f69577d0000, CarID: 1, Object: N0, time stamp: 322, AID: 2 started passing connector.
ThreadID: 40f6bf69577d0000, CarID: 0, Object: N0, time stamp: 322, AID: 3 finished passing connector.
ThreadID: 40f6bf69577d0000, CarID: 0, Object: N0, time stamp: 322, AID: 0 traveling to connector.
ThreadID: 40c63f68577d0000, CarID: 3, Object: N0, time stamp: 322, AID: 3 finished passing connector.
ThreadID: 40c63f68577d0000, CarID: 3, Object: N0, time stamp: 322, AID: 0 traveling to connector.
ThreadID: 40d6bf68577d0000, CarID: 2, Object: N0, time stamp: 412, AID: 3 finished passing connector.
ThreadID: 40d6bf68577d0000, CarID: 2, Object: N0, time stamp: 412, AID: 0 traveling to connector.
ThreadID: 40e63f69577d0000, CarID: 1, Object: N0, time stamp: 422, AID: 3 finished passing connector.
ThreadID: 40e63f69577d0000, CarID: 1, Object: N0, time stamp: 422, AID: 0 traveling to connector.
ThreadID: 40f6bf69577d0000, CarID: 0, Object: N0, time stamp: 422, AID: 1 arrived at connector.
ThreadID: 40f6bf69577d0000, CarID: 0, Object: N0, time stamp: 422, AID: 2 started passing connector.
ThreadID: 40c63f68577d0000, CarID: 3, Object: N0, time stamp: 422, AID: 1 arrived at connector.
ThreadID: 40c63f68577d0000, CarID: 3, Object: N0, time stamp: 433, AID: 2 started passing connector.
ThreadID: 40d6bf68577d0000, CarID: 2, Object: N0, time stamp: 512, AID: 1 arrived at connector.
ThreadID: 40d6bf68577d0000, CarID: 2, Object: N0, time stamp: 522, AID: 2 started passing connector.
ThreadID: 40e63f69577d0000, CarID: 1, Object: N0, time stamp: 523, AID: 1 arrived at connector.
ThreadID: 40e63f69577d0000, CarID: 1, Object: N0, time stamp: 533, AID: 2 started passing connector.
ThreadID: 40c63f68577d0000, CarID: 3, Object: N0, time stamp: 533, AID: 3 finished passing connector.
ThreadID: 40c63f68577d0000, CarID: 3, Object: N0, time stamp: 533, AID: 0 traveling to connector.
ThreadID: 40f6bf69577d0000, CarID: 0, Object: N0, time stamp: 533, AID: 3 finished passing connector.
ThreadID: 40f6bf69577d0000, CarID: 0, Object: N0, time stamp: 533, AID: 0 traveling to connector.
ThreadID: 40d6bf68577d0000, CarID: 2, Object: N0, time stamp: 623, AID: 3 finished passing connector.
ThreadID: 40e63f69577d0000, CarID: 1, Object: N0, time stamp: 633, AID: 3 finished passing connector.
ThreadID: 40c63f68577d0000, CarID: 3, Object: N0, time stamp: 633, AID: 1 arrived at connector.
ThreadID: 40c63f68577d0000, CarID: 3, Object: N0, time stamp: 633, AID: 2 started passing connector.
ThreadID: 40f6bf69577d0000, CarID: 0, Object: N0, time stamp: 633, AID: 1 arrived at connector.
ThreadID: 40f6bf69577d0000, CarID: 0, Object: N0, time stamp: 643, AID: 2 started passing connector.
ThreadID: 40c63f68577d0000, CarID: 3, Object: N0, time stamp: 733, AID: 3 finished passing connector.
ThreadID: 40f6bf69577d0000, CarID: 0, Object: N0, time stamp: 744, AID: 3 finished passing connector.
