ThreadID: 40f61fbd9a700000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e69fbc9a700000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c69fbb9a700000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d61fbc9a700000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f61fbd9a700000, CarID: 0, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f61fbd9a700000, CarID: 0, Object: N0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40e69fbc9a700000, CarID: 1, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c69fbb9a700000, CarID: 3, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40d61fbc9a700000, CarID: 2, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e69fbc9a700000, CarID: 1, Object: N0, time stamp: 110, AID: 2 started passing connector.
ThreadID: 40c69fbb9a700000, CarID: 3, Object: N0, time stamp: 121, AID: 2 started passing connector.
ThreadID: 40d61fbc9a700000, CarID: 2, Object: N0, time stamp: 131, AID: 2 started passing connector.
ThreadID: 40f61fbd9a700000, CarID: 0, Object: N0, time stamp: 200, AID: 3 finished passing connector.
ThreadID: 40f61fbd9a700000, CarID: 0, Object: N0, time stamp: 200, AID: 0 traveling to connector.
ThreadID: 40e69fbc9a700000, CarID: 1, Object: N0, time stamp: 211, AID: 3 finished passing connector.
ThreadID: 40e69fbc9a700000, CarID: 1, Object: N0, time stamp: 211, AID: 0 traveling to connector.
ThreadID: 40c69fbb9a700000, CarID: 3, Object: N0, time stamp: 221, AID: 3 finished passing connector.
ThreadID: 40c69fbb9a700000, CarID: 3, Object: N0, time stamp: 221, AID: 0 traveling to connector.
ThreadID: 40d61fbc9a700000, CarID: 2, Object: N0, time stamp: 231, AID: 3 finished passing connector.
ThreadID: 40d61fbc9a700000, CarID: 2, Object: N0, time stamp: 231, AID: 0 traveling to connector.
ThreadID: 40f61fbd9a700000, CarID: 0, Object: N0, time stamp: 300, AID: 1 arrived at connector.
ThreadID: 40f61fbd9a700000, CarID: 0, Object: N0, time stamp: 300, AID: 2 started passing connector.
ThreadID: 40e69fbc9a700000, CarID: 1, Object: N0, time stamp: 311, AID: 1 arrived at connector.
ThreadID: 40e69fbc9a700000, CarID: 1, Object: N0, time stamp: 321, AID: 2 started passing connector.
ThreadID: 40c69fbb9a700000, CarID: 3, Object: N0, time stamp: 321, AID: 1 arrived at connector.
ThreadID: 40c69fbb9a700000, CarID: 3, Object: N0, time stamp: 331, AID: 2 started passing connector.
ThreadID: 40d61fbc9a700000, CarID: 2, Object: N0, time stamp: 331, AID: 1 arrived at connector.
ThreadID: 40d61fbc9a700000, CarID: 2, Object: N0, time stamp: 342, AID: 2 started passing connector.
ThreadID: 40f61fbd9a700000, CarID: 0, Object: N0, time stamp: 401, AID: 3 finished passing connector.
ThreadID: 40f61fbd9a700000, CarID: 0, Object: N0, time stamp: 401, AID: 0 traveling to connector.
ThreadID: 40e69fbc9a700000, CarID: 1, Object: N0, time stamp: 421, AID: 3 finished passing connector.
ThreadID: 40e69fbc9a700000, CarID: 1, Object: N0, time stamp: 421, AID: 0 traveling to connector.
ThreadID: 40c69fbb9a700000, CarID: 3, Object: N0, time stamp: 432, AID: 3 finished passing connector.
ThreadID: 40c69fbb9a700000, CarID: 3, Object: N0, time stamp: 432, AID: 0 traveling to connector.
ThreadID: 40d61fbc9a700000, CarID: 2, Object: N0, time stamp: 442, AID: 3 finished passing connector.
ThreadID: 40d61fbc9a700000, CarID: 2, Object: N0, time stamp: 442, AID: 0 traveling to connector.
ThreadID: 40f61fbd9a700000, CarID: 0, Object: N0, time stamp: 501, AID: 1 arrived at connector.
ThreadID: 40f61fbd9a700000, CarID: 0, Object: N0, time stamp: 501, AID: 2 started passing connector.
ThreadID: 40e69fbc9a700000, CarID: 1, Object: N0, time stamp: 522, AID: 1 arrived at connector.
ThreadID: 40c69fbb9a700000, CarID: 3, Object: N0, time stamp: 532, AID: 1 arrived at connector.
ThreadID: 40e69fbc9a700000, CarID: 1, Object: N0, time stamp: 532, AID: 2 started passing connector.
ThreadID: 40c69fbb9a700000, CarID: 3, Object: N0, time stamp: 542, AID: 2 started passing connector.
ThreadID: 40d61fbc9a700000, CarID: 2, Object: N0, time stamp: 542, AID: 1 arrived at connector.
ThreadID: 40d61fbc9a700000, CarID: 2, Object: N0, time stamp: 552, AID: 2 started passing connector.
ThreadID: 40f61fbd9a700000, CarID: 0, Object: N0, time stamp: 602, AID: 3 finished passing connector.
ThreadID: 40e69fbc9a700000, CarID: 1, Object: N0, time stamp: 633, AID: 3 finished passing connector.
ThreadID: 40c69fbb9a700000, CarID: 3, Object: N0, time stamp: 643, AID: 3 finished passing connector.
ThreadID: 40d61fbc9a700000, CarID: 2, Object: N0, time stamp: 654, AID: 3 finished passing connector.
