ThreadID: 40f63f90a4750000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c6bf8ea4750000, CarID: 3, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e6bf8fa4750000, CarID: 1, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d63f8fa4750000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f63f90a4750000, CarID: 0, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f63f90a4750000, CarID: 0, Object: N0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40c6bf8ea4750000, CarID: 3, Object: F0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e6bf8fa4750000, CarID: 1, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e6bf8fa4750000, CarID: 1, Object: C0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40d63f8fa4750000, CarID: 2, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f63f90a4750000, CarID: 0, Object: N0, time stamp: 200, AID: 3 finished passing connector.
ThreadID: 40f63f90a4750000, CarID: 0, Object: N0, time stamp: 200, AID: 0 traveling to connector.
ThreadID: 40e6bf8fa4750000, CarID: 1, Object: C0, time stamp: 200, AID: 3 finished passing connector.
ThreadID: 40e6bf8fa4750000, CarID: 1, Object: C0, time stamp: 200, AID: 0 traveling to connector.
ThreadID: 40d63f8fa4750000, CarID: 2, Object: N0, time stamp: 200, AID: 2 started passing connector.
ThreadID: 40f63f90a4750000, CarID: 0, Object: N0, time stamp: 300, AID: 1 arrived at connector.
ThreadID: 40e6bf8fa4750000, CarID: 1, Object: C0, time stamp: 300, AID: 1 arrived at connector.
ThreadID: 40d63f8fa4750000, CarID: 2, Object: N0, time stamp: 300, AID: 3 finished passing connector.
ThreadID: 40d63f8fa4750000, CarID: 2, Object: N0, time stamp: 300, AID: 0 traveling to connector.
ThreadID: 40e6bf8fa4750000, CarID: 1, Object: N0, time stamp: 300, AID: 2 started passing connector.
ThreadID: 40d63f8fa4750000, CarID: 2, Object: N0, time stamp: 402, AID: 1 arrived at connector.
ThreadID: 40d63f8fa4750000, CarID: 2, Object: C0, time stamp: 402, AID: 2 started passing connector.
ThreadID: 40e6bf8fa4750000, CarID: 1, Object: N0, time stamp: 402, AID: 3 finished passing connector.
ThreadID: 40e6bf8fa4750000, CarID: 1, Object: N0, time stamp: 402, AID: 0 traveling to connector.
ThreadID: 40d63f8fa4750000, CarID: 2, Object: C0, time stamp: 502, AID: 3 finished passing connector.
ThreadID: 40d63f8fa4750000, CarID: 2, Object: C0, time stamp: 502, AID: 0 traveling to connector.
ThreadID: 40e6bf8fa4750000, CarID: 1, Object: N0, time stamp: 502, AID: 1 arrived at connector.
ThreadID: 40e6bf8fa4750000, CarID: 1, Object: F0, time stamp: 502, AID: 2 started passing connector.
ThreadID: 40c6bf8ea4750000, CarID: 3, Object: F0, time stamp: 502, AID: 2 started passing connector.
ThreadID: 40f63f90a4750000, CarID: 0, Object: F0, time stamp: 502, AID: 2 started passing connector.
ThreadID: 40d63f8fa4750000, CarID: 2, Object: C0, time stamp: 602, AID: 1 arrived at connector.
ThreadID: 40d63f8fa4750000, CarID: 2, Object: F0, time stamp: 602, AID: 2 started passing connector.
ThreadID: 40d63f8fa4750000, CarID: 2, Object: F0, time stamp: 702, AID: 3 finished passing connector.
ThreadID: 40c6bf8ea4750000, CarID: 3, Object: F0, time stamp: 702, AID: 3 finished passing connector.
ThreadID: 40c6bf8ea4750000, CarID: 3, Object: F0, time stamp: 702, AID: 0 traveling to connector.
ThreadID: 40e6bf8fa4750000, CarID: 1, Object: F0, time stamp: 702, AID: 3 finished passing connector.
ThreadID: 40f63f90a4750000, CarID: 0, Object: F0, time stamp: 702, AID: 3 finished passing connector.
ThreadID: 40f63f90a4750000, CarID: 0, Object: F0, time stamp: 702, AID: 0 traveling to connector.
ThreadID: 40c6bf8ea4750000, CarID: 3, Object: F0, time stamp: 803, AID: 1 arrived at connector.
ThreadID: 40f63f90a4750000, CarID: 0, Object: F0, time stamp: 803, AID: 1 arrived at connector.
ThreadID: 40c6bf8ea4750000, CarID: 3, Object: C0, time stamp: 803, AID: 2 started passing connector.
ThreadID: 40f63f90a4750000, CarID: 0, Object: C0, time stamp: 813, AID: 2 started passing connector.
ThreadID: 40c6bf8ea4750000, CarID: 3, Object: C0, time stamp: 903, AID: 3 finished passing connector.
ThreadID: 40c6bf8ea4750000, CarID: 3, Object: C0, time stamp: 903, AID: 0 traveling to connector.
ThreadID: 40f63f90a4750000, CarID: 0, Object: C0, time stamp: 913, AID: 3 finished passing connector.
ThreadID: 40c6bf8ea4750000, CarID: 3, Object: C0, time stamp: 1002, AID: 1 arrived at connector.
ThreadID: 40c6bf8ea4750000, CarID: 3, Object: N0, time stamp: 1002, AID: 2 started passing connector.
ThreadID: 40c6bf8ea4750000, CarID: 3, Object: N0, time stamp: 1102, AID: 3 finished passing connector.
