ThreadID: 40f6ff1fca7e0000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c67f1eca7e0000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e67f1fca7e0000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d6ff1eca7e0000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f6ff1fca7e0000, CarID: 0, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f6ff1fca7e0000, CarID: 0, Object: N0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40c67f1eca7e0000, CarID: 3, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e67f1fca7e0000, CarID: 1, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40d6ff1eca7e0000, CarID: 2, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40d6ff1eca7e0000, CarID: 2, Object: N0, time stamp: 110, AID: 2 started passing connector.
ThreadID: 40f6ff1fca7e0000, CarID: 0, Object: N0, time stamp: 200, AID: 3 finished passing connector.
ThreadID: 40f6ff1fca7e0000, CarID: 0, Object: N0, time stamp: 200, AID: 0 traveling to connector.
ThreadID: 40d6ff1eca7e0000, CarID: 2, Object: N0, time stamp: 211, AID: 3 finished passing connector.
ThreadID: 40d6ff1eca7e0000, CarID: 2, Object: N0, time stamp: 211, AID: 0 traveling to connector.
ThreadID: 40e67f1fca7e0000, CarID: 1, Object: N0, time stamp: 211, AID: 2 started passing connector.
ThreadID: 40c67f1eca7e0000, CarID: 3, Object: N0, time stamp: 221, AID: 2 started passing connector.
ThreadID: 40f6ff1fca7e0000, CarID: 0, Object: N0, time stamp: 301, AID: 1 arrived at connector.
ThreadID: 40f6ff1fca7e0000, CarID: 0, Object: N0, time stamp: 311, AID: 2 started passing connector.
ThreadID: 40d6ff1eca7e0000, CarID: 2, Object: N0, time stamp: 311, AID: 1 arrived at connector.
ThreadID: 40d6ff1eca7e0000, CarID: 2, Object: N0, time stamp: 321, AID: 2 started passing connector.
ThreadID: 40e67f1fca7e0000, CarID: 1, Object: N0, time stamp: 321, AID: 3 finished passing connector.
ThreadID: 40e67f1fca7e0000, CarID: 1, Object: N0, time stamp: 321, AID: 0 traveling to connector.
ThreadID: 40c67f1eca7e0000, CarID: 3, Object: N0, time stamp: 321, AID: 3 finished passing connector.
ThreadID: 40c67f1eca7e0000, CarID: 3, Object: N0, time stamp: 321, AID: 0 traveling to connector.
ThreadID: 40f6ff1fca7e0000, CarID: 0, Object: N0, time stamp: 411, AID: 3 finished passing connector.
ThreadID: 40f6ff1fca7e0000, CarID: 0, Object: N0, time stamp: 411, AID: 0 traveling to connector.
ThreadID: 40d6ff1eca7e0000, CarID: 2, Object: N0, time stamp: 421, AID: 3 finished passing connector.
ThreadID: 40d6ff1eca7e0000, CarID: 2, Object: N0, time stamp: 421, AID: 0 traveling to connector.
ThreadID: 40e67f1fca7e0000, CarID: 1, Object: N0, time stamp: 421, AID: 1 arrived at connector.
ThreadID: 40e67f1fca7e0000, CarID: 1, Object: N0, time stamp: 421, AID: 2 started passing connector.
ThreadID: 40c67f1eca7e0000, CarID: 3, Object: N0, time stamp: 421, AID: 1 arrived at connector.
ThreadID: 40c67f1eca7e0000, CarID: 3, Object: N0, time stamp: 431, AID: 2 started passing connector.
ThreadID: 40f6ff1fca7e0000, CarID: 0, Object: N0, time stamp: 511, AID: 1 arrived at connector.
ThreadID: 40f6ff1fca7e0000, CarID: 0, Object: N0, time stamp: 521, AID: 2 started passing connector.
ThreadID: 40e67f1fca7e0000, CarID: 1, Object: N0, time stamp: 521, AID: 3 finished passing connector.
ThreadID: 40e67f1fca7e0000, CarID: 1, Object: N0, time stamp: 521, AID: 0 traveling to connector.
ThreadID: 40d6ff1eca7e0000, CarID: 2, Object: N0, time stamp: 521, AID: 1 arrived at connector.
ThreadID: 40d6ff1eca7e0000, CarID: 2, Object: N0, time stamp: 532, AID: 2 started passing connector.
ThreadID: 40c67f1eca7e0000, CarID: 3, Object: N0, time stamp: 532, AID: 3 finished passing connector.
ThreadID: 40c67f1eca7e0000, CarID: 3, Object: N0, time stamp: 532, AID: 0 traveling to connector.
ThreadID: 40f6ff1fca7e0000, CarID: 0, Object: N0, time stamp: 621, AID: 3 finished passing connector.
ThreadID: 40e67f1fca7e0000, CarID: 1, Object: N0, time stamp: 621, AID: 1 arrived at connector.
ThreadID: 40c67f1eca7e0000, CarID: 3, Object: N0, time stamp: 632, AID: 1 arrived at connector.
ThreadID: 40d6ff1eca7e0000, CarID: 2, Object: N0, time stamp: 632, AID: 3 finished passing connector.
ThreadID: 40c67f1eca7e0000, CarID: 3, Object: N0, time stamp: 632, AID: 2 started passing connector.
ThreadID: 40e67f1fca7e0000, CarID: 1, Object: N0, time stamp: 642, AID: 2 started passing connector.
ThreadID: 40c67f1eca7e0000, CarID: 3, Object: N0, time stamp: 732, AID: 3 finished passing connector.
ThreadID: 40e67f1fca7e0000, CarID: 1, Object: N0, time stamp: 742, AID: 3 finished passing connector.
