ThreadID: 40f6ff5d61790000, CarID: 0, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e67f5d61790000, CarID: 1, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c67f5c61790000, CarID: 3, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d6ff5c61790000, CarID: 2, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f6ff5d61790000, CarID: 0, Object: F0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e67f5d61790000, CarID: 1, Object: F0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c67f5c61790000, CarID: 3, Object: F0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c67f5c61790000, CarID: 3, Object: F0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40d6ff5c61790000, CarID: 2, Object: F0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f6ff5d61790000, CarID: 0, Object: F0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40e67f5d61790000, CarID: 1, Object: F0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40e67f5d61790000, CarID: 1, Object: F0, time stamp: 201, AID: 3 finished passing connector.
ThreadID: 40e67f5d61790000, CarID: 1, Object: F0, time stamp: 201, AID: 0 traveling to connector.
ThreadID: 40c67f5c61790000, CarID: 3, Object: F0, time stamp: 201, AID: 3 finished passing connector.
ThreadID: 40c67f5c61790000, CarID: 3, Object: F0, time stamp: 201, AID: 0 traveling to connector.
ThreadID: 40f6ff5d61790000, CarID: 0, Object: F0, time stamp: 201, AID: 3 finished passing connector.
ThreadID: 40f6ff5d61790000, CarID: 0, Object: F0, time stamp: 201, AID: 0 traveling to connector.
ThreadID: 40c67f5c61790000, CarID: 3, Object: F0, time stamp: 302, AID: 1 arrived at connector.
ThreadID: 40e67f5d61790000, CarID: 1, Object: F0, time stamp: 302, AID: 1 arrived at connector.
ThreadID: 40e67f5d61790000, CarID: 1, Object: F0, time stamp: 302, AID: 2 started passing connector.
ThreadID: 40f6ff5d61790000, CarID: 0, Object: F0, time stamp: 302, AID: 1 arrived at connector.
ThreadID: 40c67f5c61790000, CarID: 3, Object: F0, time stamp: 302, AID: 2 started passing connector.
ThreadID: 40d6ff5c61790000, CarID: 2, Object: F0, time stamp: 302, AID: 2 started passing connector.
ThreadID: 40d6ff5c61790000, CarID: 2, Object: F0, time stamp: 402, AID: 3 finished passing connector.
ThreadID: 40d6ff5c61790000, CarID: 2, Object: F0, time stamp: 402, AID: 0 traveling to connector.
ThreadID: 40c67f5c61790000, CarID: 3, Object: F0, time stamp: 402, AID: 3 finished passing connector.
ThreadID: 40c67f5c61790000, CarID: 3, Object: F0, time stamp: 402, AID: 0 traveling to connector.
ThreadID: 40e67f5d61790000, CarID: 1, Object: F0, time stamp: 402, AID: 3 finished passing connector.
ThreadID: 40e67f5d61790000, CarID: 1, Object: F0, time stamp: 402, AID: 0 traveling to connector.
ThreadID: 40d6ff5c61790000, CarID: 2, Object: F0, time stamp: 502, AID: 1 arrived at connector.
ThreadID: 40e67f5d61790000, CarID: 1, Object: F0, time stamp: 502, AID: 1 arrived at connector.
ThreadID: 40e67f5d61790000, CarID: 1, Object: F0, time stamp: 502, AID: 2 started passing connector.
ThreadID: 40c67f5c61790000, CarID: 3, Object: F0, time stamp: 502, AID: 1 arrived at connector.
ThreadID: 40d6ff5c61790000, CarID: 2, Object: F0, time stamp: 502, AID: 2 started passing connector.
ThreadID: 40f6ff5d61790000, CarID: 0, Object: F0, time stamp: 502, AID: 2 started passing connector.
ThreadID: 40f6ff5d61790000, CarID: 0, Object: F0, time stamp: 602, AID: 3 finished passing connector.
ThreadID: 40f6ff5d61790000, CarID: 0, Object: F0, time stamp: 602, AID: 0 traveling to connector.
ThreadID: 40e67f5d61790000, CarID: 1, Object: F0, time stamp: 602, AID: 3 finished passing connector.
ThreadID: 40d6ff5c61790000, CarID: 2, Object: F0, time stamp: 603, AID: 3 finished passing connector.
ThreadID: 40d6ff5c61790000, CarID: 2, Object: F0, time stamp: 603, AID: 0 traveling to connector.
ThreadID: 40f6ff5d61790000, CarID: 0, Object: F0, time stamp: 703, AID: 1 arrived at connector.
ThreadID: 40d6ff5c61790000, CarID: 2, Object: F0, time stamp: 703, AID: 1 arrived at connector.
ThreadID: 40d6ff5c61790000, CarID: 2, Object: F0, time stamp: 703, AID: 2 started passing connector.
ThreadID: 40f6ff5d61790000, CarID: 0, Object: F0, time stamp: 703, AID: 2 started passing connector.
ThreadID: 40c67f5c61790000, CarID: 3, Object: F0, time stamp: 703, AID: 2 started passing connector.
ThreadID: 40f6ff5d61790000, CarID: 0, Object: F0, time stamp: 803, AID: 3 finished passing connector.
ThreadID: 40c67f5c61790000, CarID: 3, Object: F0, time stamp: 803, AID: 3 finished passing connector.
ThreadID: 40d6ff5c61790000, CarID: 2, Object: F0, time stamp: 803, AID: 3 finished passing connector.
