ThreadID: 40f63f8cbf7a0000, CarID: 0, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e6bf8bbf7a0000, CarID: 1, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c6bf8abf7a0000, CarID: 3, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d63f8bbf7a0000, CarID: 2, Object: F0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f63f8cbf7a0000, CarID: 0, Object: F0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e6bf8bbf7a0000, CarID: 1, Object: F0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c6bf8abf7a0000, CarID: 3, Object: F0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c6bf8abf7a0000, CarID: 3, Object: F0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40e6bf8bbf7a0000, CarID: 1, Object: F0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40d63f8bbf7a0000, CarID: 2, Object: F0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40d63f8bbf7a0000, CarID: 2, Object: F0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40f63f8cbf7a0000, CarID: 0, Object: F0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40e6bf8bbf7a0000, CarID: 1, Object: F0, time stamp: 200, AID: 3 finished passing connector.
ThreadID: 40e6bf8bbf7a0000, CarID: 1, Object: F0, time stamp: 200, AID: 0 traveling to connector.
ThreadID: 40c6bf8abf7a0000, CarID: 3, Object: F0, time stamp: 200, AID: 3 finished passing connector.
ThreadID: 40c6bf8abf7a0000, CarID: 3, Object: F0, time stamp: 200, AID: 0 traveling to connector.
ThreadID: 40f63f8cbf7a0000, CarID: 0, Object: F0, time stamp: 201, AID: 3 finished passing connector.
ThreadID: 40f63f8cbf7a0000, CarID: 0, Object: F0, time stamp: 201, AID: 0 traveling to connector.
ThreadID: 40d63f8bbf7a0000, CarID: 2, Object: F0, time stamp: 201, AID: 3 finished passing connector.
ThreadID: 40d63f8bbf7a0000, CarID: 2, Object: F0, time stamp: 201, AID: 0 traveling to connector.
ThreadID: 40e6bf8bbf7a0000, CarID: 1, Object: F0, time stamp: 301, AID: 1 arrived at connector.
ThreadID: 40c6bf8abf7a0000, CarID: 3, Object: F0, time stamp: 301, AID: 1 arrived at connector.
ThreadID: 40c6bf8abf7a0000, CarID: 3, Object: F0, time stamp: 301, AID: 2 started passing connector.
ThreadID: 40e6bf8bbf7a0000, CarID: 1, Object: F0, time stamp: 301, AID: 2 started passing connector.
ThreadID: 40f63f8cbf7a0000, CarID: 0, Object: F0, time stamp: 301, AID: 1 arrived at connector.
ThreadID: 40d63f8bbf7a0000, CarID: 2, Object: F0, time stamp: 301, AID: 1 arrived at connector.
ThreadID: 40d63f8bbf7a0000, CarID: 2, Object: F0, time stamp: 301, AID: 2 started passing connector.
ThreadID: 40f63f8cbf7a0000, CarID: 0, Object: F0, time stamp: 301, AID: 2 started passing connector.
ThreadID: 40e6bf8bbf7a0000, CarID: 1, Object: F0, time stamp: 401, AID: 3 finished passing connector.
ThreadID: 40e6bf8bbf7a0000, CarID: 1, Object: F0, time stamp: 401, AID: 0 traveling to connector.
ThreadID: 40c6bf8abf7a0000, CarID: 3, Object: F0, time stamp: 401, AID: 3 finished passing connector.
ThreadID: 40c6bf8abf7a0000, CarID: 3, Object: F0, time stamp: 401, AID: 0 traveling to connector.
ThreadID: 40f63f8cbf7a0000, CarID: 0, Object: F0, time stamp: 401, AID: 3 finished passing connector.
ThreadID: 40f63f8cbf7a0000, CarID: 0, Object: F0, time stamp: 401, AID: 0 traveling to connector.
ThreadID: 40d63f8bbf7a0000, CarID: 2, Object: F0, time stamp: 401, AID: 3 finished passing connector.
ThreadID: 40d63f8bbf7a0000, CarID: 2, Object: F0, time stamp: 401, AID: 0 traveling to connector.
ThreadID: 40e6bf8bbf7a0000, CarID: 1, Object: F0, time stamp: 501, AID: 1 arrived at connector.
ThreadID: 40c6bf8abf7a0000, CarID: 3, Object: F0, time stamp: 501, AID: 1 arrived at connector.
ThreadID: 40f63f8cbf7a0000, CarID: 0, Object: F0, time stamp: 501, AID: 1 arrived at connector.
ThreadID: 40c6bf8abf7a0000, CarID: 3, Object: F0, time stamp: 501, AID: 2 started passing connector.
ThreadID: 40e6bf8bbf7a0000, CarID: 1, Object: F0, time stamp: 501, AID: 2 started passing connector.
ThreadID: 40d63f8bbf7a0000, CarID: 2, Object: F0, time stamp: 501, AID: 1 arrived at connector.
ThreadID: 40d63f8bbf7a0000, CarID: 2, Object: F0, time stamp: 501, AID: 2 started passing connector.
ThreadID: 40f63f8cbf7a0000, CarID: 0, Object: F0, time stamp: 501, AID: 2 started passing connector.
ThreadID: 40e6bf8bbf7a0000, CarID: 1, Object: F0, time stamp: 601, AID: 3 finished passing connector.
ThreadID: 40c6bf8abf7a0000, CarID: 3, Object: F0, time stamp: 601, AID: 3 finished passing connector.
ThreadID: 40f63f8cbf7a0000, CarID: 0, Object: F0, time stamp: 602, AID: 3 finished passing connector.
ThreadID: 40d63f8bbf7a0000, CarID: 2, Object: F0, time stamp: 602, AID: 3 finished passing connector.
