ThreadID: 40f67fc2aa7f0000, CarID: 0, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c6ffc0aa7f0000, CarID: 3, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e6ffc1aa7f0000, CarID: 1, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d67fc1aa7f0000, CarID: 2, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40967fbfaa7f0000, CarID: 6, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40b67fc0aa7f0000, CarID: 4, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40a6ffbfaa7f0000, CarID: 5, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 4086ffbeaa7f0000, CarID: 7, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f67fc2aa7f0000, CarID: 0, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 4086ffbeaa7f0000, CarID: 7, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40b67fc0aa7f0000, CarID: 4, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c6ffc0aa7f0000, CarID: 3, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e6ffc1aa7f0000, CarID: 1, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40a6ffbfaa7f0000, CarID: 5, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f67fc2aa7f0000, CarID: 0, Object: C0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40d67fc1aa7f0000, CarID: 2, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40967fbfaa7f0000, CarID: 6, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 4086ffbeaa7f0000, CarID: 7, Object: C0, time stamp: 111, AID: 2 started passing connector.
ThreadID: 40b67fc0aa7f0000, CarID: 4, Object: C0, time stamp: 121, AID: 2 started passing connector.
ThreadID: 40c6ffc0aa7f0000, CarID: 3, Object: C0, time stamp: 131, AID: 2 started passing connector.
