ThreadID: 40f6bf9a48700000, CarID: 0, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40b6bf9848700000, CarID: 4, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e63f9a48700000, CarID: 1, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e67f9348700000, CarID: 6, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f6ff9348700000, CarID: 5, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d6bf9948700000, CarID: 2, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d6ff9248700000, CarID: 7, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c63f9948700000, CarID: 3, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f6bf9a48700000, CarID: 0, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e63f9a48700000, CarID: 1, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e63f9a48700000, CarID: 1, Object: C0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40e67f9348700000, CarID: 6, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40b6bf9848700000, CarID: 4, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40d6bf9948700000, CarID: 2, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c63f9948700000, CarID: 3, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f6ff9348700000, CarID: 5, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40d6ff9248700000, CarID: 7, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f6bf9a48700000, CarID: 0, Object: C0, time stamp: 110, AID: 2 started passing connector.
ThreadID: 40e67f9348700000, CarID: 6, Object: C0, time stamp: 121, AID: 2 started passing connector.
ThreadID: 40b6bf9848700000, CarID: 4, Object: C0, time stamp: 131, AID: 2 started passing connector.
ThreadID: 40d6bf9948700000, CarID: 2, Object: C0, time stamp: 141, AID: 2 started passing connector.
ThreadID: 40c63f9948700000, CarID: 3, Object: C0, time stamp: 152, AID: 2 started passing connector.
ThreadID: 40f6ff9348700000, CarID: 5, Object: C0, time stamp: 162, AID: 2 started passing connector.
ThreadID: 40d6ff9248700000, CarID: 7, Object: C0, time stamp: 172, AID: 2 started passing connector.
