ThreadID: 40f67fd501720000, CarID: 0, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e6ffd401720000, CarID: 1, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c6ffd301720000, CarID: 3, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40967fd201720000, CarID: 7, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40b67fd301720000, CarID: 5, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40b67fcb01720000, CarID: 4, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40a6ffd201720000, CarID: 6, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d67fd401720000, CarID: 2, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f67fd501720000, CarID: 0, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40b67fd301720000, CarID: 5, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e6ffd401720000, CarID: 1, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40a6ffd201720000, CarID: 6, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c6ffd301720000, CarID: 3, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40b67fcb01720000, CarID: 4, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40967fd201720000, CarID: 7, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f67fd501720000, CarID: 0, Object: C0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40d67fd401720000, CarID: 2, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40d67fd401720000, CarID: 2, Object: C0, time stamp: 111, AID: 2 started passing connector.
ThreadID: 40a6ffd201720000, CarID: 6, Object: C0, time stamp: 121, AID: 2 started passing connector.
ThreadID: 40b67fcb01720000, CarID: 4, Object: C0, time stamp: 132, AID: 2 started passing connector.
ThreadID: 40f67fd501720000, CarID: 0, Object: C0, time stamp: 201, AID: 3 finished passing connector.
ThreadID: 40f67fd501720000, CarID: 0, Object: C0, time stamp: 201, AID: 0 traveling to connector.
ThreadID: 40d67fd401720000, CarID: 2, Object: C0, time stamp: 211, AID: 3 finished passing connector.
ThreadID: 40d67fd401720000, CarID: 2, Object: C0, time stamp: 211, AID: 0 traveling to connector.
