ThreadID: 40e6bfd27b730000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f63fd37b730000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c6bfd17b730000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d63fd27b730000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40a6bfd07b730000, CarID: 5, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40b63fd17b730000, CarID: 4, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40a6bfd07b730000, CarID: 5, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40a6bfd07b730000, CarID: 5, Object: N0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40f63fd37b730000, CarID: 0, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c6bfd17b730000, CarID: 3, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40b63fd17b730000, CarID: 4, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c6bfd17b730000, CarID: 3, Object: N0, time stamp: 110, AID: 2 started passing connector.
ThreadID: 40b63fd17b730000, CarID: 4, Object: N0, time stamp: 121, AID: 2 started passing connector.
ThreadID: 40e6bfd27b730000, CarID: 1, Object: N0, time stamp: 300, AID: 1 arrived at connector.
ThreadID: 40a6bfd07b730000, CarID: 5, Object: N0, time stamp: 500, AID: 3 finished passing connector.
ThreadID: 40a6bfd07b730000, CarID: 5, Object: N0, time stamp: 500, AID: 0 traveling to connector.
ThreadID: 40c6bfd17b730000, CarID: 3, Object: N0, time stamp: 511, AID: 3 finished passing connector.
ThreadID: 40c6bfd17b730000, CarID: 3, Object: N0, time stamp: 511, AID: 0 traveling to connector.
ThreadID: 40b63fd17b730000, CarID: 4, Object: N0, time stamp: 521, AID: 3 finished passing connector.
ThreadID: 40b63fd17b730000, CarID: 4, Object: N0, time stamp: 521, AID: 0 traveling to connector.
ThreadID: 40e6bfd27b730000, CarID: 1, Object: N0, time stamp: 521, AID: 2 started passing connector.
ThreadID: 40f63fd37b730000, CarID: 0, Object: N0, time stamp: 531, AID: 2 started passing connector.
ThreadID: 40d63fd27b730000, CarID: 2, Object: N0, time stamp: 600, AID: 1 arrived at connector.
ThreadID: 40a6bfd07b730000, CarID: 5, Object: N0, time stamp: 601, AID: 1 arrived at connector.
ThreadID: 40d63fd27b730000, CarID: 2, Object: N0, time stamp: 610, AID: 2 started passing connector.
ThreadID: 40c6bfd17b730000, CarID: 3, Object: N0, time stamp: 611, AID: 1 arrived at connector.
ThreadID: 40b63fd17b730000, CarID: 4, Object: N0, time stamp: 621, AID: 1 arrived at connector.
ThreadID: 40e6bfd27b730000, CarID: 1, Object: N0, time stamp: 922, AID: 3 finished passing connector.
ThreadID: 40e6bfd27b730000, CarID: 1, Object: N0, time stamp: 922, AID: 0 traveling to connector.
ThreadID: 40f63fd37b730000, CarID: 0, Object: N0, time stamp: 933, AID: 3 finished passing connector.
ThreadID: 40f63fd37b730000, CarID: 0, Object: N0, time stamp: 933, AID: 0 traveling to connector.
ThreadID: 40d63fd27b730000, CarID: 2, Object: N0, time stamp: 1011, AID: 3 finished passing connector.
ThreadID: 40d63fd27b730000, CarID: 2, Object: N0, time stamp: 1011, AID: 0 traveling to connector.
ThreadID: 40a6bfd07b730000, CarID: 5, Object: N0, time stamp: 1011, AID: 2 started passing connector.
ThreadID: 40c6bfd17b730000, CarID: 3, Object: N0, time stamp: 1021, AID: 2 started passing connector.
ThreadID: 40b63fd17b730000, CarID: 4, Object: N0, time stamp: 1031, AID: 2 started passing connector.
ThreadID: 40f63fd37b730000, CarID: 0, Object: N0, time stamp: 1032, AID: 1 arrived at connector.
ThreadID: 40e6bfd27b730000, CarID: 1, Object: N0, time stamp: 1222, AID: 1 arrived at connector.
ThreadID: 40a6bfd07b730000, CarID: 5, Object: N0, time stamp: 1411, AID: 3 finished passing connector.
ThreadID: 40a6bfd07b730000, CarID: 5, Object: N0, time stamp: 1411, AID: 0 traveling to connector.
ThreadID: 40c6bfd17b730000, CarID: 3, Object: N0, time stamp: 1421, AID: 3 finished passing connector.
ThreadID: 40c6bfd17b730000, CarID: 3, Object: N0, time stamp: 1421, AID: 0 traveling to connector.
ThreadID: 40b63fd17b730000, CarID: 4, Object: N0, time stamp: 1431, AID: 3 finished passing connector.
ThreadID: 40b63fd17b730000, CarID: 4, Object: N0, time stamp: 1431, AID: 0 traveling to connector.
ThreadID: 40e6bfd27b730000, CarID: 1, Object: N0, time stamp: 1431, AID: 2 started passing connector.
ThreadID: 40f63fd37b730000, CarID: 0, Object: N0, time stamp: 1442, AID: 2 started passing connector.
ThreadID: 40a6bfd07b730000, CarID: 5, Object: N0, time stamp: 1511, AID: 1 arrived at connector.
ThreadID: 40c6bfd17b730000, CarID: 3, Object: N0, time stamp: 1521, AID: 1 arrived at connector.
ThreadID: 40b63fd17b730000, CarID: 4, Object: N0, time stamp: 1532, AID: 1 arrived at connector.
ThreadID: 40d63fd27b730000, CarID: 2, Object: N0, time stamp: 1611, AID: 1 arrived at connector.
ThreadID: 40d63fd27b730000, CarID: 2, Object: N0, time stamp: 1621, AID: 2 started passing connector.
ThreadID: 40e6bfd27b730000, CarID: 1, Object: N0, time stamp: 1832, AID: 3 finished passing connector.
ThreadID: 40e6bfd27b730000, CarID: 1, Object: N0, time stamp: 1832, AID: 0 traveling to connector.
ThreadID: 40f63fd37b730000, CarID: 0, Object: N0, time stamp: 1842, AID: 3 finished passing connector.
ThreadID: 40f63fd37b730000, CarID: 0, Object: N0, time stamp: 1842, AID: 0 traveling to connector.
ThreadID: 40f63fd37b730000, CarID: 0, Object: N0, time stamp: 1943, AID: 1 arrived at connector.
ThreadID: 40f63fd37b730000, CarID: 0, Object: N0, time stamp: 1953, AID: 2 started passing connector.
ThreadID: 40a6bfd07b730000, CarID: 5, Object: N0, time stamp: 2022, AID: 2 started passing connector.
ThreadID: 40d63fd27b730000, CarID: 2, Object: N0, time stamp: 2022, AID: 3 finished passing connector.
ThreadID: 40d63fd27b730000, CarID: 2, Object: N0, time stamp: 2022, AID: 0 traveling to connector.
ThreadID: 40c6bfd17b730000, CarID: 3, Object: N0, time stamp: 2032, AID: 2 started passing connector.
ThreadID: 40b63fd17b730000, CarID: 4, Object: N0, time stamp: 2042, AID: 2 started passing connector.
ThreadID: 40e6bfd27b730000, CarID: 1, Object: N0, time stamp: 2132, AID: 1 arrived at connector.
ThreadID: 40f63fd37b730000, CarID: 0, Object: N0, time stamp: 2353, AID: 3 finished passing connector.
ThreadID: 40a6bfd07b730000, CarID: 5, Object: N0, time stamp: 2422, AID: 3 finished passing connector.
ThreadID: 40c6bfd17b730000, CarID: 3, Object: N0, time stamp: 2432, AID: 3 finished passing connector.
ThreadID: 40b63fd17b730000, CarID: 4, Object: N0, time stamp: 2442, AID: 3 finished passing connector.
ThreadID: 40d63fd27b730000, CarID: 2, Object: N0, time stamp: 2622, AID: 1 arrived at connector.
ThreadID: 40e6bfd27b730000, CarID: 1, Object: N0, time stamp: 2642, AID: 2 started passing connector.
ThreadID: 40e6bfd27b730000, CarID: 1, Object: N0, time stamp: 3043, AID: 3 finished passing connector.
ThreadID: 40d63fd27b730000, CarID: 2, Object: N0, time stamp: 3132, AID: 2 started passing connector.
ThreadID: 40d63fd27b730000, CarID: 2, Object: N0, time stamp: 3533, AID: 3 finished passing connector.
